Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.3,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Januar 2017,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,269119,961666
2,  Deutschland,260760,941915
3,  Ausland,8359,19751
,,,
4,"  Rostock, Hansestadt",40176,93517
5,    Deutschland,38184,89202
6,    Ausland,1992,4315
,,,
7,"  Schwerin, Landeshauptstadt",8239,12901
8,    Deutschland,7262,11348
9,    Ausland,977,1553
,,,
,  Mecklenburgische,,
10,    Seenplatte,25174,87396
11,    Deutschland,24568,86140
12,    Ausland,606,1256
,,,
13,  Landkreis Rostock,42774,176365
14,    Deutschland,41950,173862
15,    Ausland,824,2503
,,,
16,  Vorpommern-Rügen,64724,257247
17,    Deutschland,63398,253779
18,    Ausland,1326,3468
,,,
19,  Nordwestmecklenburg,20455,78160
20,    Deutschland,19573,76839
21,    Ausland,882,1321
,,,
22,  Vorpommern-Greifswald,54494,214077
23,    Deutschland,53807,211653
24,    Ausland,687,2424
,,,
25,  Ludwigslust-Parchim,13083,42003
26,    Deutschland,12018,39092
27,    Ausland,1065,2911
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",4215,9354
29,    Deutschland,4022,8909
30,    Ausland,193,445
,,,
31,"  Neubrandenburg, Stadt 11)",2922,6003
32,    Deutschland,2753,5703
33,    Ausland,169,300
,,,
34,"  Stralsund, Hansestadt 12)",9094,18843
35,    Deutschland,8772,18193
36,    Ausland,322,650
,,,
37,"  Wismar, Hansestadt 13)",5404,13256
38,    Deutschland,4767,12451
39,    Ausland,637,805
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.3,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Februar 2017,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,315976,1095563
2,  Deutschland,304765,1067493
3,  Ausland,11211,28070
,,,
4,"  Rostock, Hansestadt",40770,99155
5,    Deutschland,38596,94090
6,    Ausland,2174,5065
,,,
7,"  Schwerin, Landeshauptstadt",9287,14844
8,    Deutschland,8347,13305
9,    Ausland,940,1539
,,,
,  Mecklenburgische,,
10,    Seenplatte,27837,92749
11,    Deutschland,27304,91561
12,    Ausland,533,1188
,,,
13,  Landkreis Rostock,49680,196854
14,    Deutschland,47925,191511
15,    Ausland,1755,5343
,,,
16,  Vorpommern-Rügen,85152,324564
17,    Deutschland,83183,319372
18,    Ausland,1969,5192
,,,
19,  Nordwestmecklenburg,23565,84095
20,    Deutschland,22450,81488
21,    Ausland,1115,2607
,,,
22,  Vorpommern-Greifswald,64825,240509
23,    Deutschland,64065,237620
24,    Ausland,760,2889
,,,
25,  Ludwigslust-Parchim,14860,42793
26,    Deutschland,12895,38546
27,    Ausland,1965,4247
,,,
,Nachrichtlich,,
,,,
