Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",,,,,,,,,
Tabelle 2.3,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",April 2017,,,,,Januar - April 2017,,,,
,,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 4)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 4)"
,,"ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
monat","ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
monat",,"ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
zeitraum","ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,
1  ,Mecklenburg-Vorpommern,607.481,"31,8 ",2.189.138,"40,6 ","3,6  ",1.630.488,"6,0 ",5.646.301,"4,9 ","3,5  "
2  ,  Deutschland,583.130,"32,4 ",2.129.210,"41,5 ","3,7  ",1.572.525,"6,2 ",5.506.774,"5,2 ","3,5  "
3  ,  Ausland,24.351,"20,2 ",59.928,"15,5 ","2,5  ",57.963,"1,5 ",139.527,"- 4,7 ","2,4  "
,,,,,,,,,,,
4  ,"  Rostock, Hansestadt",63.854,"13,2 ",162.339,"26,9 ","2,5  ",203.837,"3,6 ",484.865,"3,2 ","2,4  "
5  ,    Deutschland,58.253,"11,6 ",150.888,"26,8 ","2,6  ",190.525,"3,3 ",457.515,"4,4 ","2,4  "
6  ,    Ausland,5.601,"32,7 ",11.451,"28,6 ","2,0  ",13.312,"8,0 ",27.350,"- 12,7 ","2,1  "
,,,,,,,,,,,
7  ,"  Schwerin, Landeshauptstadt",14.881,"4,5 ",27.196,"16,4 ","1,8  ",45.630,"1,2 ",76.163,"3,4 ","1,7  "
8  ,    Deutschland,12.872,"3,4 ",23.676,"16,5 ","1,8  ",40.367,"1,3 ",67.480,"3,7 ","1,7  "
9  ,    Ausland,2.009,"12,1 ",3.520,"15,7 ","1,8  ",5.263,"0,8 ",8.683,"0,9 ","1,6  "
,,,,,,,,,,,
,  Mecklenburgische,,,,,,,,,,
10  ,    Seenplatte,68.209,"35,4 ",232.261,"53,3 ","3,4  ",163.237,"7,2 ",534.992,"7,2 ","3,3  "
11  ,    Deutschland,66.814,"36,5 ",228.647,"55,4 ","3,4  ",159.865,"7,5 ",526.946,"7,6 ","3,3  "
12  ,    Ausland,1.395,"- 3,6 ",3.614,"- 16,7 ","2,6  ",3.372,"- 4,5 ",8.046,"- 14,0 ","2,4  "
,,,,,,,,,,,
13  ,  Landkreis Rostock,88.887,"33,6 ",367.947,"47,4 ","4,1  ",244.107,"4,3 ",972.401,"6,0 ","4,0  "
14  ,    Deutschland,86.842,"34,6 ",362.727,"48,3 ","4,2  ",238.066,"4,9 ",955.953,"6,4 ","4,0  "
15  ,    Ausland,2.045,"1,0 ",5.220,"3,9 ","2,6  ",6.041,"- 13,8 ",16.448,"- 13,4 ","2,7  "
,,,,,,,,,,,
16  ,  Vorpommern-Rügen,179.985,"41,9 ",700.061,"46,9 ","3,9  ",445.489,"4,2 ",1.699.006,"2,4 ","3,8  "
17  ,    Deutschland,173.055,"42,5 ",680.787,"47,5 ","3,9  ",432.414,"4,0 ",1.663.459,"2,2 ","3,8  "
18  ,    Ausland,6.930,"27,5 ",19.274,"30,2 ","2,8  ",13.075,"11,3 ",35.547,"12,0 ","2,7  "
