Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",,,,,,,,,
Tabelle 2.3,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Dezember 2017,,,,,Januar - Dezember 2017,,,,
,,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 4)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 4)"
,,"ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
monat","ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
monat",,"ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
zeitraum","ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,
1  ,Mecklenburg-Vorpommern,369.066,"4,0 ",1.202.276,"3,2 ","3,3  ",7.527.619,"- 0,5 ",29.751.881,"- 1,8 ","4,0  "
2  ,  Deutschland,350.997,"3,8 ",1.158.530,"3,3 ","3,3  ",7.145.528,"- 0,6 ",28.754.255,"- 1,7 ","4,0  "
3  ,  Ausland,18.069,"7,3 ",43.746,"2,0 ","2,4  ",382.091,"0,6 ",997.626,"- 3,5 ","2,6  "
,,,,,,,,,,,
4  ,"  Rostock, Hansestadt",58.374,"9,7 ",130.356,"12,1 ","2,2  ",774.927,"2,1 ",1.996.539,"1,5 ","2,6  "
5  ,    Deutschland,52.058,"9,1 ",115.936,"10,8 ","2,2  ",706.942,"1,7 ",1.857.803,"1,6 ","2,6  "
6  ,    Ausland,6.316,"15,5 ",14.420,"23,8 ","2,3  ",67.985,"6,9 ",138.736,"0,7 ","2,0  "
,,,,,,,,,,,
7  ,"  Schwerin, Landeshauptstadt",14.230,"4,8 ",24.132,"5,8 ","1,7  ",201.963,"0,7 ",353.198,"1,5 ","1,7  "
8  ,    Deutschland,11.875,"0,4 ",19.980,"1,1 ","1,7  ",175.612,"0,7 ",308.511,"1,4 ","1,8  "
9  ,    Ausland,2.355,"34,6 ",4.152,"36,0 ","1,8  ",26.351,"1,2 ",44.687,"2,5 ","1,7  "
,,,,,,,,,,,
,  Mecklenburgische,,,,,,,,,,
10  ,    Seenplatte,37.705,"4,8 ",124.141,"7,3 ","3,3  ",978.300,"- 0,5 ",3.497.076,"0,3 ","3,6  "
11  ,    Deutschland,36.993,"5,3 ",121.563,"7,0 ","3,3  ",948.957,"- 0,3 ",3.416.155,"0,3 ","3,6  "
12  ,    Ausland,712,"- 16,6 ",2.578,"22,6 ","3,6  ",29.343,"- 5,1 ",80.921,"- 2,2 ","2,8  "
,,,,,,,,,,,
13  ,  Landkreis Rostock,54.278,"6,7 ",205.427,"1,7 ","3,8  ",1.067.533,"- 2,4 ",4.720.446,"- 2,1 ","4,4  "
14  ,    Deutschland,53.140,"8,0 ",202.709,"2,9 ","3,8  ",1.028.765,"- 2,3 ",4.619.093,"- 2,0 ","4,5  "
15  ,    Ausland,1.138,"- 30,0 ",2.718,"- 44,9 ","2,4  ",38.768,"- 6,3 ",101.353,"- 8,8 ","2,6  "
,,,,,,,,,,,
16  ,  Vorpommern-Rügen,90.627,"- 0,5 ",330.645,"- 0,4 ","3,6  ",2.178.884,"- 1,7 ",9.733.280,"- 4,2 ","4,5  "
17  ,    Deutschland,87.584,"- 0,8 ",322.804,"- 0,6 ","3,7  ",2.064.464,"- 2,0 ",9.390.578,"- 4,3 ","4,5  "
18  ,    Ausland,3.043,"10,1 ",7.841,"9,8 ","2,6  ",114.420,"2,9 ",342.702,"- 1,3 ","3,0  "
,,,,,,,,,,,
19  ,  Nordwestmecklenburg,31.839,"7,0 ",102.994,"6,2 ","3,2  ",600.307,"3,2 ",2.260.298,"0,7 ","3,8  "
20  ,    Deutschland,29.660,"7,5 ",97.556,"6,4 ","3,3  ",564.963,"3,0 ",2.175.470,"0,9 ","3,9  "
21  ,    Ausland,2.179,"0,5 ",5.438,"3,1 ","2,5  ",35.344,"5,6 ",84.828,"- 5,1 ","2,4  "
,,,,,,,,,,,
22  ,  Vorpommern-Greifswald,64.466,"1,8 ",234.958,"3,6 ","3,6  ",1.365.814,"- 0,3 ",6.106.789,"- 0,4 ","4,5  "
23  ,    Deutschland,63.550,"1,6 ",232.229,"3,7 ","3,7  ",1.331.999,"- 0,3 ",5.996.909,"- 0,5 ","4,5  "
24  ,    Ausland,916,"14,6 ",2.729,"- 1,9 ","3,0  ",33.815,"2,7 ",109.880,"1,3 ","3,2  "
,,,,,,,,,,,
25  ,  Ludwigslust-Parchim,17.547,"2,1 ",49.623,"- 5,2 ","2,8  ",359.891,"- 0,6 ",1.084.255,"- 3,8 ","3,0  "
26  ,    Deutschland,16.137,"2,3 ",45.753,"- 1,4 ","2,8  ",323.826,"0,5 ",989.736,"- 2,3 ","3,1  "
27  ,    Ausland,1.410,"- 0,1 ",3.870,"- 35,2 ","2,7  ",36.065,"- 10,1 ",94.519,"- 16,8 ","2,6  "
,,,,,,,,,,,
,Nachrichtlich,,,,,,,,,,
,,,,,,,,,,,
28  ,"  Greifswald, Hansestadt 10)",5.151,"22,1 ",13.315,"51,7 ","2,6  ",97.642,"7,9 ",258.737,"14,3 ","2,6  "
29  ,    Deutschland,4.962,"24,3 ",12.848,"57,3 ","2,6  ",90.583,"8,9 ",242.253,"16,6 ","2,7  "
30  ,    Ausland,189,"- 16,0 ",467,"- 23,3 ","2,5  ",7.059,"- 3,7 ",16.484,"- 10,8 ","2,3  "
,,,,,,,,,,,
31  ,"  Neubrandenburg, Stadt 11)",3.670,"5,6 ",7.880,"1,4 ","2,1  ",49.107,"- 0,6 ",105.347,"- 0,9 ","2,1  "
32  ,    Deutschland,3.447,"7,8 ",7.227,"0,1 ","2,1  ",46.349,"- 0,2 ",99.471,"- 1,0 ","2,1  "
33  ,    Ausland,223,"- 19,5 ",653,"18,9 ","2,9  ",2.758,"- 6,4 ",5.876,"1,0 ","2,1  "
,,,,,,,,,,,
34  ,"  Stralsund, Hansestadt 12)",13.834,"2,2 ",29.299,"- 2,7 ","2,1  ",221.553,"2,5 ",498.232,"- 1,4 ","2,2  "
35  ,    Deutschland,12.377,"0,9 ",25.875,"- 5,0 ","2,1  ",198.203,"3,0 ",448.544,"0,0 ","2,3  "
36  ,    Ausland,1.457,"14,0 ",3.424,"18,7 ","2,4  ",23.350,"- 1,8 ",49.688,"- 12,6 ","2,1  "
,,,,,,,,,,,
37  ,"  Wismar, Hansestadt 13)",10.571,"18,2 ",23.964,"14,5 ","2,3  ",162.310,"23,1 ",360.423,"15,9 ","2,2  "
38  ,    Deutschland,8.877,"21,5 ",20.622,"14,0 ","2,3  ",142.149,"23,7 ",325.793,"15,2 ","2,3  "
39  ,    Ausland,1.694,"3,1 ",3.342,"17,5 ","2,0  ",20.161,"19,1 ",34.630,"22,2 ","1,7  "
