"Noch: 2. Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste im April 2013 in Beherbergungsbetrieben
(einschl. Camping) Mecklenburg-Vorpommerns 
 2.4 nach Kreisen und nach dem ständigen Wohnsitz der Gäste",,,,,,,,,,
Deutschland,5 201," 27,4", 7 739," 17,6"," 1,5", 17 606," 11,3", 25 994," 11,7"," 1,5"
Ausland, 238,"- 64,9", 325,"- 67,6"," 1,4",1 171,"- 27,1",1 543,"- 36,1"," 1,3"
,,,,,,,,,,
"Stralsund, Hansestadt 4)",12 175,"- 20,4", 26 362,"- 25,4"," 2,2", 41 133,"- 6,3", 90 391,"- 4,9"," 2,2"
Deutschland,11 013,"- 20,5", 23 509,"- 26,9"," 2,1", 38 691,"- 5,4", 84 361,"- 3,9"," 2,2"
Ausland,1 162,"- 20,0",2 853,"- 10,9"," 2,5",2 442,"- 19,3",6 030,"- 16,9"," 2,5"
,,,,,,,,,,
"Wismar, Hansestadt 5)",8 515,"- 5,5", 20 727,"- 6,7"," 2,4", 24 201,"- 1,8", 66 403," 4,0"," 2,7"
Deutschland,7 585,"- 3,3", 18 785,"- 5,7"," 2,5", 21 986,"- 2,3", 61 414," 2,5"," 2,8"
Ausland, 930,"- 20,2",1 942,"- 15,9"," 2,1",2 215," 3,5",4 989," 26,9"," 2,3"
______,,,,,,,,,,
1) Rechnerischer Wert (Übernachtungen/Ankünfte),,,,,,,,,,
2) zu Vorpommern-Greifswald,,,,,,,,,,
3) zu Mecklenburgische Seenplatte,,,,,,,,,,
4) zu Vorpommern-Rügen,,,,,,,,,,
5) zu Nordwestmecklenburg,,,,,,,,,,
