© Landesamt fü,,,,,,
"r Statistik Niedersachsen, 2018.",,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,
,,,,,,
LSN-Online: Tabelle Z7360122,,,,,,
,,,,,,
Monatserhebung im Tourismus in Niedersachsen (Gebietsstand: 01.07.2017),,,,,,
- Geöffnete Beherbergungsbetriebe mit mindestens 10 Betten und geöffnete Campinglätze mit mindestens 10 Stellplätzen -,,,,,,
 ,,,,,,
Zeitraum: Jahr*,,,,,,
,,,,,,
"Niedersachsen
Statistische Region*
Kreis*
Gemeinde*
------
Jahr",Ankünfte,,Übernachtungen,,durchschnittl.,
," 
 
Insgesamt",".Bundes-
republik
Dtschl.*"," 
 
Insgesamt",".Bundes-
republik
Dtschl.*","Aufent-
halts-
dauer  ","Auslastung
der Schlaf-
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"97,2","96,9","97,1","97,1","99,9","95,4"
2011,"107,7","106,6","106,4","105,7","98,9","99,9"
2012,"111,0","109,9","108,6","107,6","97,8","99,9"
2013,"113,8","111,8","110,0","108,7","96,7","103,2"
2014,"113,1","110,8","111,4","109,8","98,4","103,1"
2015,"115,2","114,4","112,6","111,7","97,8","90,5"
2016,"124,2","125,0","117,8","117,9","94,9","113,5"
2017,"124,2","124,5","117,8","117,8","94,8","113,3"
2018,-,-,-,-,-,-
3       Lüneburg                 ,,,,,,
 ,,,,,,
2009,2757794,2523912,8881924,8314958,"3,2","28,2"
2010,2782012,2538563,8823143,8251583,"3,2","27,4"
2011,2885706,2637455,8991026,8403867,"3,1","27,7"
2012,2940680,2679042,9099036,8467843,"3,1","27,3"
2013,2905418,2644396,8968518,8344068,"3,1","27,6"
2014,2999063,2734597,9216986,8576634,"3,1","29,4"
2015,3064840,2790859,9450376,8781154,"3,1","30,1"
2016,3204804,2939009,9775451,9122749,"3,1","30,8"
2017,3273123,2992612,9852960,9172277,"3,0","31,1"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"1,2","1,3","0,2",-,"-1,0","-1,4"
2010,"0,9","0,6","-0,7","-0,8","-1,5","-2,9"
2011,"3,7","3,9","1,9","1,8","-1,8","1,3"
2012,"1,9","1,6","1,2","0,8","-0,7","-1,6"
2013,"-1,2","-1,3","-1,4","-1,5","-0,2","1,1"
2014,"3,2","3,4","2,8","2,8","-0,4","6,4"
2015,"2,2","2,1","2,5","2,4","0,3","2,4"
2016,"4,6","5,3","3,4","3,9","-1,1","2,3"
2017,"2,1","1,8","0,8","0,5","-1,3","1,2"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"100,9","100,6","99,3","99,2","98,5","97,1"
2011,"104,6","104,5","101,2","101,1","96,7","98,4"
2012,"106,6","106,1","102,4","101,8","96,1","96,8"
2013,"105,4","104,8","101,0","100,4","95,8","97,8"
2014,"108,7","108,3","103,8","103,1","95,4","104,1"
2015,"111,1","110,6","106,4","105,6","95,7","106,7"
2016,"116,2","116,4","110,1","109,7","94,7","109,1"
2017,"118,7","118,6","110,9","110,3","93,5","110,5"
2018,-,-,-,-,-,-
351     Celle                    ,,,,,,
 ,,,,,,
2009,238965,198618,577165,482117,"2,4","20,4"
2010,248366,201720,577862,471607,"2,3","20,4"
2011,261527,214638,591239,486668,"2,3","22,4"
2012,267887,214346,597107,479220,"2,2","22,1"
2013,276289,225234,625500,511323,"2,3","22,8"
2014,274060,226607,623721,514989,"2,3","23,1"
2015,272698,223605,627043,512307,"2,3","23,2"
2016,280454,234761,671160,558762,"2,4","25,0"
2017,290403,246031,708048,596392,"2,4","25,8"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-0,6","0,3","1,7","2,3","2,3","-2,0"
2010,"3,9","1,6","0,1","-2,2","-3,7","-0,1"
2011,"5,3","6,4","2,3","3,2","-2,8","9,7"
2012,"2,4","-0,1","1,0","-1,5","-1,4","-1,5"
2013,"3,1","5,1","4,8","6,7","1,6","3,4"
2014,"-0,8","0,6","-0,3","0,7","0,5","1,5"
2015,"-0,5","-1,3","0,5","-0,5","1,0","0,3"
2016,"2,8","5,0","7,0","9,1","4,1","7,7"
2017,"3,5","4,8","5,5","6,7","1,9","3,2"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"103,9","101,6","100,1","97,8","96,3","99,9"
2011,"109,4","108,1","102,4","100,9","93,6","109,6"
2012,"112,1","107,9","103,5","99,4","92,3","107,9"
2013,"115,6","113,4","108,4","106,1","93,7","111,6"
2014,"114,7","114,1","108,1","106,8","94,2","113,3"
2015,"114,1","112,6","108,6","106,3","95,2","113,6"
2016,"117,4","118,2","116,3","115,9","99,1","122,3"
2017,"121,5","123,9","122,7","123,7","100,9","126,3"
2018,-,-,-,-,-,-
352     Cuxhaven                 ,,,,,,
 ,,,,,,
2009,519572,508451,2408481,2375399,"4,6","28,3"
2010,514968,504031,2353522,2323832,"4,6","27,7"
2011,525237,513759,2348256,2315688,"4,5","27,4"
2012,541932,529283,2359782,2323279,"4,4","25,8"
2013,526735,511388,2308491,2267827,"4,4","26,6"
2014,569680,554197,2448861,2407324,"4,3","29,2"
2015,589643,573283,2528318,2488117,"4,3","31,4"
2016,599058,582735,2526821,2480991,"4,2","31,5"
2017,613180,594896,2556938,2501643,"4,2","31,5"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"0,7","0,6","-2,8","-2,9","-3,4","-2,1"
2010,"-0,9","-0,9","-2,3","-2,2","-1,4","-2,0"
2011,"2,0","1,9","-0,2","-0,4","-2,2","-1,0"
2012,"3,2","3,0","0,5","0,3","-2,6","-6,0"
2013,"-2,8","-3,4","-2,2","-2,4","0,6","3,1"
2014,"8,2","8,4","6,1","6,2","-1,9","9,8"
2015,"3,5","3,4","3,2","3,4","-0,3","7,5"
2016,"1,6","1,6","-0,1","-0,3","-1,6","0,2"
2017,"2,4","2,1","1,2","0,8","-1,1","0,1"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"99,1","99,1","97,7","97,8","98,6","98,0"
2011,"101,1","101,0","97,5","97,5","96,4","97,0"
2012,"104,3","104,1","98,0","97,8","93,9","91,2"
2013,"101,4","100,6","95,8","95,5","94,5","94,0"
2014,"109,6","109,0","101,7","101,3","92,7","103,2"
2015,"113,5","112,8","105,0","104,7","92,5","111,0"
2016,"115,3","114,6","104,9","104,4","91,0","111,2"
2017,"118,0","117,0","106,2","105,3","90,0","111,3"
2018,-,-,-,-,-,-
353     Harburg                  ,,,,,,
 ,,,,,,
2009,260194,237730,593579,546286,"2,3","24,5"
2010,263291,240284,618286,576912,"2,3","23,4"
2011,285308,261925,671950,625667,"2,4","25,7"
2012,283358,259950,658397,612738,"2,3","26,5"
2013,279453,252012,660871,613234,"2,4","25,9"
2014,286744,256634,661366,605952,"2,3","26,4"
2015,283354,251308,638083,578802,"2,3","26,6"
2016,286007,256068,623572,571987,"2,2","26,3"
2017,297291,264749,651913,594112,"2,2","28,6"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"6,2","5,5","13,0","11,8","6,4","-1,6"
2010,"1,2","1,1","4,2","5,6","2,9","-4,5"
2011,"8,4","9,0","8,7","8,5","0,3","10,2"
2012,"-0,7","-0,8","-2,0","-2,1","-1,3","3,0"
2013,"-1,4","-3,1","0,4","0,1","1,8","-2,3"
2014,"2,6","1,8","0,1","-1,2","-2,5","2,0"
2015,"-1,2","-2,1","-3,5","-4,5","-2,4","0,9"
2016,"0,9","1,9","-2,3","-1,2","-3,2","-1,3"
2017,"3,9","3,4","4,5","3,9","0,6","9,0"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"101,2","101,1","104,2","105,6","102,9","95,5"
2011,"109,7","110,2","113,2","114,5","103,2","105,2"
2012,"108,9","109,3","110,9","112,2","101,9","108,4"
2013,"107,4","106,0","111,3","112,3","103,7","105,9"
2014,"110,2","108,0","111,4","110,9","101,1","107,9"
2015,"108,9","105,7","107,5","106,0","98,7","108,9"
2016,"109,9","107,7","105,1","104,7","95,6","107,5"
2017,"114,3","111,4","109,8","108,8","96,1","117,1"
2018,-,-,-,-,-,-
354     Lüchow-Dannenberg        ,,,,,,
 ,,,,,,
2009,89988,85741,278114,267509,"3,1","18,7"
2010,88811,84545,270106,258462,"3,0","17,9"
2011,90063,86691,264972,255276,"2,9","17,9"
2012,95063,90381,273431,262447,"2,9","18,8"
2013,82907,79514,237182,228857,"2,9","17,0"
2014,89646,86045,256100,247696,"2,9","18,9"
2015,92844,88633,252053,242179,"2,7","18,6"
2016,95734,91729,261020,251866,"2,7","19,0"
2017,90576,87212,250880,242445,"2,8","19,4"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-0,2","0,2","-2,9","-2,5","-2,8","1,8"
2010,"-1,3","-1,4","-2,9","-3,4","-1,6","-4,3"
2011,"1,4","2,5","-1,9","-1,2","-3,3","-0,3"
2012,"5,6","4,3","3,2","2,8","-2,2","5,0"
2013,"-12,8","-12,0","-13,3","-12,8","-0,5","-9,6"
2014,"8,1","8,2","8,0","8,2","-0,1","11,1"
2015,"3,6","3,0","-1,6","-2,2","-5,0","-1,2"
2016,"3,1","3,5","3,6","4,0","0,4","2,2"
2017,"-5,4","-4,9","-3,9","-3,7","1,6","1,6"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"98,7","98,6","97,1","96,6","98,4","95,7"
2011,"100,1","101,1","95,3","95,4","95,2","95,5"
2012,"105,6","105,4","98,3","98,1","93,1","100,3"
2013,"92,1","92,7","85,3","85,6","92,6","90,6"
2014,"99,6","100,4","92,1","92,6","92,4","100,7"
2015,"103,2","103,4","90,6","90,5","87,8","99,5"
2016,"106,4","107,0","93,9","94,2","88,2","101,6"
2017,"100,7","101,7","90,2","90,6","89,6","103,3"
2018,-,-,-,-,-,-
355     Lüneburg                 ,,,,,,
 ,,,,,,
2009,240799,218536,530318,481283,"2,2","27,1"
2010,248884,225711,538880,489350,"2,2","27,7"
2011,259110,237977,568273,521276,"2,2","27,1"
2012,267295,245017,593054,540547,"2,2","26,3"
2013,262302,241805,583901,537686,"2,2","27,2"
2014,270310,248168,599296,545234,"2,2","28,1"
2015,274052,250970,610970,553804,"2,2","28,7"
2016,290630,266847,643289,587579,"2,2","29,4"
2017,287241,264710,630989,576875,"2,2","31,2"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"4,4","5,0","3,5","3,0","-0,9","-2,7"
2010,"3,4","3,3","1,6","1,7","-1,7","2,4"
2011,"4,1","5,4","5,5","6,5","1,3","-2,3"
2012,"3,2","3,0","4,4","3,7","1,2","-2,7"
2013,"-1,9","-1,3","-1,5","-0,5","0,3","3,3"
2014,"3,1","2,6","2,6","1,4","-0,4","3,4"
2015,"1,4","1,1","1,9","1,6","0,6","1,8"
2016,"6,0","6,3","5,3","6,1","-0,7","2,6"
2017,"-1,2","-0,8","-1,9","-1,8","-0,8","6,1"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"103,4","103,3","101,6","101,7","98,3","102,4"
2011,"107,6","108,9","107,2","108,3","99,6","100,1"
2012,"111,0","112,1","111,8","112,3","100,7","97,4"
2013,"108,9","110,6","110,1","111,7","101,1","100,6"
2014,"112,3","113,6","113,0","113,3","100,7","104,0"
2015,"113,8","114,8","115,2","115,1","101,2","105,9"
2016,"120,7","122,1","121,3","122,1","100,5","108,7"
2017,"119,3","121,1","119,0","119,9","99,7","115,3"
2018,-,-,-,-,-,-
356     Osterholz                ,,,,,,
 ,,,,,,
2009,56715,53552,129720,121250,"2,3","24,8"
2010,56385,53443,141127,134015,"2,5","26,1"
2011,58051,55532,148526,138516,"2,6","29,0"
2012,61043,58243,157097,148185,"2,6","28,0"
2013,59327,56500,147543,136668,"2,5","26,9"
2014,58914,56267,142197,130628,"2,4","26,5"
2015,57898,54928,150694,137492,"2,6","28,3"
2016,60819,57397,148037,133059,"2,4","28,5"
2017,58943,55866,141294,129060,"2,4","26,8"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-9,9","-9,1","-3,8","-4,0","6,7","-8,6"
2010,"-0,6","-0,2","8,8","10,5","9,4","5,3"
2011,"3,0","3,9","5,2","3,4","2,2","11,1"
2012,"5,2","4,9","5,8","7,0","0,6","-3,5"
2013,"-2,8","-3,0","-6,1","-7,8","-3,4","-3,9"
2014,"-0,7","-0,4","-3,6","-4,4","-2,9","-1,7"
2015,"-1,7","-2,4","6,0","5,3","7,8","7,0"
2016,"5,0","4,5","-1,8","-3,2","-6,5","0,8"
2017,"-3,1","-2,7","-4,6","-3,0","-1,5","-5,9"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"99,4","99,8","108,8","110,5","109,4","105,3"
2011,"102,4","103,7","114,5","114,2","111,9","117,0"
2012,"107,6","108,8","121,1","122,2","112,5","112,8"
2013,"104,6","105,5","113,7","112,7","108,7","108,4"
2014,"103,9","105,1","109,6","107,7","105,5","106,6"
2015,"102,1","102,6","116,2","113,4","113,8","114,0"
2016,"107,2","107,2","114,1","109,7","106,4","114,9"
2017,"103,9","104,3","108,9","106,4","104,8","108,1"
2018,-,-,-,-,-,-
357     Rotenburg (Wümme)        ,,,,,,
 ,,,,,,
2009,200377,181541,453500,424208,"2,3","22,1"
2010,204626,184051,471603,441318,"2,3","22,7"
2011,206907,185417,468385,434064,"2,3","23,1"
2012,211009,192558,477858,447249,"2,3","23,6"
2013,205268,186836,457766,427643,"2,2","23,2"
2014,201882,183886,462019,433055,"2,3","24,2"
2015,212919,194466,583178,549647,"2,7","26,8"
2016,208644,189761,548164,516784,"2,6","23,5"
2017,209584,191257,540473,512098,"2,6","23,0"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-3,3","-2,8","-3,6","-3,3","-0,3","-6,9"
2010,"2,1","1,4","4,0","4,0","1,8","2,8"
2011,"1,1","0,7","-0,7","-1,6","-1,8","1,8"
2012,"2,0","3,9","2,0","3,0",-,"2,2"
2013,"-2,7","-3,0","-4,2","-4,4","-1,5","-1,8"
2014,"-1,6","-1,6","0,9","1,3","2,6","4,5"
2015,"5,5","5,8","26,2","26,9","19,7","10,6"
2016,"-2,0","-2,4","-6,0","-6,0","-4,1","-12,3"
2017,"0,5","0,8","-1,4","-0,9","-1,8","-2,1"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"102,1","101,4","104,0","104,0","101,8","102,8"
2011,"103,3","102,1","103,3","102,3","100,0","104,7"
2012,"105,3","106,1","105,4","105,4","100,1","107,0"
2013,"102,4","102,9","100,9","100,8","98,5","105,0"
2014,"100,8","101,3","101,9","102,1","101,1","109,8"
2015,"106,3","107,1","128,6","129,6","121,0","121,5"
2016,"104,1","104,5","120,9","121,8","116,1","106,5"
2017,"104,6","105,4","119,2","120,7","113,9","104,2"
2018,-,-,-,-,-,-
358     Heidekreis               ,,,,,,
 ,,,,,,
2009,723607,640855,2531102,2298775,"3,5","35,0"
2010,705632,624632,2416029,2193081,"3,4","31,4"
2011,731048,649076,2454299,2240305,"3,4","30,8"
2012,733301,647320,2431199,2198238,"3,3","30,1"
2013,738920,656349,2437993,2213441,"3,3","30,6"
2014,769869,687601,2535461,2305659,"3,3","33,8"
2015,807435,719057,2596753,2349454,"3,2","33,6"
2016,873994,792831,2798940,2566730,"3,2","35,8"
2017,897507,805827,2823226,2570573,"3,1","36,6"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"3,6","3,4","1,0","0,6","-2,5","2,2"
2010,"-2,5","-2,5","-4,5","-4,6","-2,1","-10,5"
2011,"3,6","3,9","1,6","2,2","-1,9","-1,9"
2012,"0,3","-0,3","-0,9","-1,9","-1,2","-2,2"
2013,"0,8","1,4","0,3","0,7","-0,5","1,7"
2014,"4,2","4,8","4,0","4,2","-0,2","10,6"
2015,"4,9","4,6","2,4","1,9","-2,3","-0,6"
2016,"8,2","10,3","7,8","9,2","-0,4","6,4"
2017,"2,7","1,6","0,9","0,1","-1,8","2,3"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"97,5","97,5","95,5","95,4","97,9","89,5"
2011,"101,0","101,3","97,0","97,5","96,0","87,8"
2012,"101,3","101,0","96,1","95,6","94,8","85,8"
2013,"102,1","102,4","96,3","96,3","94,3","87,3"
2014,"106,4","107,3","100,2","100,3","94,2","96,5"
2015,"111,6","112,2","102,6","102,2","91,9","95,9"
2016,"120,8","123,7","110,6","111,7","91,6","102,1"
2017,"124,0","125,7","111,5","111,8","89,9","104,4"
2018,-,-,-,-,-,-
359     Stade                    ,,,,,,
 ,,,,,,
2009,152625,141515,374164,347063,"2,5","29,5"
2010,173605,159593,415439,382861,"2,4","30,6"
2011,183956,166942,443995,401958,"2,4","32,2"
2012,182928,164816,452091,405259,"2,5","31,8"
2013,176594,159026,431299,386649,"2,4","30,9"
2014,177927,161001,416585,377646,"2,3","31,4"
2015,178061,162154,420791,382649,"2,4","30,8"
2016,192464,174671,469520,422989,"2,4","33,1"
2017,201442,184907,470344,433559,"2,3","31,2"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"1,1","2,0","-0,6","0,6","-1,7","-2,1"
2010,"13,7","12,8","11,0","10,3","-2,4","3,9"
2011,"6,0","4,6","6,9","5,0","0,9","5,0"
2012,"-0,6","-1,3","1,8","0,8","2,4","-1,1"
2013,"-3,5","-3,5","-4,6","-4,6","-1,2","-2,8"
2014,"0,8","1,2","-3,4","-2,3","-4,1","1,6"
2015,"0,1","0,7","1,0","1,3","0,9","-1,9"
2016,"8,1","7,7","11,6","10,5","3,2","7,6"
2017,"4,7","5,9","0,2","2,5","-4,3","-5,8"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"113,7","112,8","111,0","110,3","97,6","103,9"
2011,"120,5","118,0","118,7","115,8","98,5","109,0"
2012,"119,9","116,5","120,8","116,8","100,8","107,9"
2013,"115,7","112,4","115,3","111,4","99,6","104,8"
2014,"116,6","113,8","111,3","108,8","95,5","106,5"
2015,"116,7","114,6","112,5","110,3","96,4","104,4"
2016,"126,1","123,4","125,5","121,9","99,5","112,3"
2017,"132,0","130,7","125,7","124,9","95,2","105,8"
2018,-,-,-,-,-,-
360     Uelzen                   ,,,,,,
 ,,,,,,
2009,145884,142415,742305,730849,"5,1","33,5"
2010,147537,143585,748799,736024,"5,1","35,5"
2011,149184,144924,743630,730527,"5,0","36,3"
2012,151644,146970,781767,766587,"5,2","38,2"
2013,159880,154990,778645,761134,"4,9","39,1"
2014,155134,149964,758516,740596,"4,9","38,6"
2015,155930,150860,749038,731380,"4,8","39,0"
2016,164441,158995,766327,748145,"4,7","39,6"
2017,165576,159763,751511,734549,"4,5","38,7"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-1,5","-1,5","1,2","1,3","2,7","-0,4"
2010,"1,1","0,8","0,9","0,7","-0,3","6,0"
2011,"1,1","0,9","-0,7","-0,7","-1,8","2,2"
2012,"1,6","1,4","5,1","4,9","3,4","5,3"
2013,"5,4","5,5","-0,4","-0,7","-5,5","2,4"
2014,"-3,0","-3,2","-2,6","-2,7","0,4","-1,3"
2015,"0,5","0,6","-1,2","-1,2","-1,8","1,0"
2016,"5,5","5,4","2,3","2,3","-3,0","1,4"
2017,"0,7","0,5","-1,9","-1,8","-2,6","-2,1"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"101,1","100,8","100,9","100,7","99,7","106,0"
2011,"102,3","101,8","100,2","100,0","98,0","108,3"
2012,"103,9","103,2","105,3","104,9","101,3","114,1"
2013,"109,6","108,8","104,9","104,1","95,7","116,7"
2014,"106,3","105,3","102,2","101,3","96,1","115,2"
2015,"106,9","105,9","100,9","100,1","94,4","116,4"
2016,"112,7","111,6","103,2","102,4","91,6","118,1"
2017,"113,5","112,2","101,2","100,5","89,2","115,6"
2018,-,-,-,-,-,-
361     Verden                   ,,,,,,
 ,,,,,,
2009,129068,114958,263476,240219,"2,0","26,2"
2010,129907,116968,271490,244121,"2,1","26,7"
2011,135315,120574,287501,253922,"2,1","26,6"
2012,145220,130158,317253,284094,"2,2","27,5"
2013,137743,120742,299327,259606,"2,2","26,9"
2014,144897,124227,312864,267855,"2,2","28,9"
2015,140006,121595,293455,255323,"2,1","27,7"
2016,152559,133214,318601,283857,"2,1","29,0"
2017,161380,137394,327344,280971,"2,0","29,0"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-4,8","-4,6","-4,3","-3,1","0,5","-8,2"
2010,"0,7","1,7","3,0","1,6","2,4","1,8"
2011,"4,2","3,1","5,9","4,0","1,7","-0,3"
2012,"7,3","7,9","10,3","11,9","2,8","3,4"
2013,"-5,1","-7,2","-5,7","-8,6","-0,5","-1,9"
2014,"5,2","2,9","4,5","3,2","-0,6","7,2"
2015,"-3,4","-2,1","-6,2","-4,7","-2,9","-4,1"
2016,"9,0","9,6","8,6","11,2","-0,4","4,7"
2017,"5,8","3,1","2,7","-1,0","-2,9","-0,2"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"100,7","101,7","103,0","101,6","102,4","101,8"
2011,"104,8","104,9","109,1","105,7","104,1","101,4"
2012,"112,5","113,2","120,4","118,3","107,0","104,9"
2013,"106,7","105,0","113,6","108,1","106,5","102,9"
2014,"112,3","108,1","118,7","111,5","105,8","110,3"
2015,"108,5","105,8","111,4","106,3","102,7","105,8"
2016,"118,2","115,9","120,9","118,2","102,3","110,7"
2017,"125,0","119,5","124,2","117,0","99,4","110,6"
2018,-,-,-,-,-,-
4       Weser-Ems                ,,,,,,
 ,,,,,,
2009,3965548,3687927,16539184,15726574,"4,2","33,3"
2010,4142375,3795800,17132676,16100103,"4,1","33,8"
2011,4238850,3895802,17287940,16220861,"4,1","34,5"
2012,4345573,3980088,17510705,16316612,"4,0","34,2"
2013,4450355,4095734,17517590,16423238,"3,9","34,7"
2014,4515608,4177160,17719544,16651470,"3,9","35,6"
2015,4588030,4241151,17968430,16926342,"3,9","35,4"
2016,4919790,4548117,18884763,17789046,"3,8","36,4"
2017,5067694,4692691,19409804,18303043,"3,8","36,5"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"1,8","2,1","3,2","3,3","1,4","0,9"
2010,"4,5","2,9","3,6","2,4","-0,8","1,5"
2011,"2,3","2,6","0,9","0,8","-1,4","2,0"
2012,"2,5","2,2","1,3","0,6","-1,2","-0,8"
2013,"2,4","2,9",-,"0,7","-2,3","1,4"
2014,"1,5","2,0","1,2","1,4","-0,3","2,6"
2015,"1,6","1,5","1,4","1,7","-0,2","-0,6"
2016,"7,2","7,2","5,1","5,1","-2,0","2,8"
2017,"3,0","3,2","2,8","2,9","-0,2","0,3"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"104,5","102,9","103,6","102,4","99,2","101,5"
2011,"106,9","105,6","104,5","103,1","97,8","103,6"
2012,"109,6","107,9","105,9","103,8","96,6","102,7"
2013,"112,2","111,1","105,9","104,4","94,4","104,2"
2014,"113,9","113,3","107,1","105,9","94,1","106,9"
2015,"115,7","115,0","108,6","107,6","93,9","106,3"
2016,"124,1","123,3","114,2","113,1","92,0","109,2"
2017,"127,8","127,2","117,4","116,4","91,8","109,6"
2018,-,-,-,-,-,-
"401     Delmenhorst,Stadt        ",,,,,,
 ,,,,,,
2009,28266,26834,46151,43545,"1,6","27,3"
2010,25964,24310,48714,45765,"1,9","29,4"
2011,27147,25453,49390,46084,"1,8","29,9"
2012,29140,25433,49819,44161,"1,7","32,0"
2013,26940,24891,49983,45248,"1,9","32,6"
2014,28242,25886,53214,48049,"1,9","35,1"
2015,26691,24723,49491,45659,"1,9","28,5"
2016,29252,27140,54650,50413,"1,9","31,2"
2017,32720,30370,57722,53473,"1,8","31,5"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
2009,"-7,6","-5,2","-20,3","-19,2","-13,7","-18,3"
2010,"-8,1","-9,4","5,6","5,1","14,9","7,8"
2011,"4,6","4,7","1,4","0,7","-3,0","1,9"
2012,"7,3","-0,1","0,9","-4,2","-6,0","6,8"
2013,"-7,5","-2,1","0,3","2,5","8,5","1,9"
2014,"4,8","4,0","6,5","6,2","1,6","7,7"
2015,"-5,5","-4,5","-7,0","-5,0","-1,6","-18,9"
2016,"9,6","9,8","10,4","10,4","0,8","9,7"
2017,"11,9","11,9","5,6","6,1","-5,6","0,7"
2018,"-100,0","-100,0","-100,0","-100,0","-100,0","-100,0"
 ,,,,,,
2009 = 100 ,,,,,,
2009,"100,0","100,0","100,0","100,0","100,0","100,0"
2010,"91,9","90,6","105,6","105,1","114,9","107,8"
2011,"96,0","94,9","107,0","105,8","111,4","109,8"
2012,"103,1","94,8","107,9","101,4","104,7","117,3"
2013,"95,3","92,8","108,3","103,9","113,6","119,5"
2014,"99,9","96,5","115,3","110,3","115,4","128,7"
2015,"94,4","92,1","107,2","104,9","113,6","104,4"
2016,"103,5","101,1","118,4","115,8","114,4","114,5"
2017,"115,8","113,2","125,1","122,8","108,0","115,3"
2018,-,-,-,-,-,-
"402     Emden,Stadt              ",,,,,,
 ,,,,,,
2009,56941,53297,104783,95449,"1,8","33,1"
2010,58686,54620,115704,105382,"2,0","35,5"
2011,58739,55006,120110,108190,"2,0","36,8"
2012,62133,57941,126158,115953,"2,0","34,7"
2013,74086,69320,147280,135201,"2,0","38,9"
2014,74221,69848,153128,140994,"2,1","39,3"
2015,76177,70632,155403,139570,"2,0","39,5"
2016,83568,75187,172925,155331,"2,1","41,3"
2017,84106,78092,173058,156144,"2,1","41,3"
2018,-,-,-,-,-,-
 ,,,,,,
Veränd. zum Vorjahr ,,,,,,
