Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschl. Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Januar 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
26,    Deutschland,23524,67945
27,    Ausland,2395,4558
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",5376,11426
29,    Deutschland,5009,9830
30,    Ausland,367,1596
,,,
31,"  Neubrandenburg, Stadt 11)",5433,8205
32,    Deutschland,5071,7755
33,    Ausland,362,450
,,,
34,"  Stralsund, Hansestadt 12)",11468,25911
35,    Deutschland,10837,24084
36,    Ausland,631,1827
,,,
37,"  Wismar, Hansestadt 13)",7265,18919
38,    Deutschland,6647,17844
39,    Ausland,618,1075
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschl. Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",April 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,550788,2017785
2,  Deutschland,525781,1954539
3,  Ausland,25007,63246
,,,
4,"  Rostock, Hansestadt",55458,141494
5,    Deutschland,50647,128827
6,    Ausland,4811,12667
,,,
7,"  Schwerin, Landeshauptstadt",15050,26917
8,    Deutschland,12862,23184
9,    Ausland,2188,3733
,,,
,  Mecklenburgische,,
10,    Seenplatte,67108,226764
11,    Deutschland,65624,223102
12,    Ausland,1484,3662
,,,
13,  Landkreis Rostock,84437,352445
14,    Deutschland,81935,345872
15,    Ausland,2502,6573
,,,
16,  Vorpommern-Rügen,161634,643600
17,    Deutschland,154508,623936
