469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;Gästeübernachtungen;Gästeankünfte
;;;;insgesamt;insgesamt
04011;Stadt Bremen;2016-07;Sonstige Einrichtungen 3);15686;3861
04011;Stadt Bremen;2016-07;Insgesamt;157713;84382
04011;Stadt Bremen;2016-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;144791;83447
04011;Stadt Bremen;2016-06;Sonstige Einrichtungen 3);15722;3480
04011;Stadt Bremen;2016-06;Insgesamt;160513;86927
04011;Stadt Bremen;2016-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;159840;87893
04011;Stadt Bremen;2016-05;Sonstige Einrichtungen 3);15165;3539
04011;Stadt Bremen;2016-05;Insgesamt;175005;91432
04011;Stadt Bremen;2016-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;153846;89356
04011;Stadt Bremen;2016-04;Sonstige Einrichtungen 3);14421;2956
04011;Stadt Bremen;2016-04;Insgesamt;168267;92312
04011;Stadt Bremen;2016-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;134409;74882
04011;Stadt Bremen;2016-03;Sonstige Einrichtungen 3);14794;2983
04011;Stadt Bremen;2016-03;Insgesamt;149203;77865
04011;Stadt Bremen;2016-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;130507;75678
04011;Stadt Bremen;2016-02;Sonstige Einrichtungen 3);11844;1919
04011;Stadt Bremen;2016-02;Insgesamt;142351;77597
04011;Stadt Bremen;2016-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;108974;62897
04011;Stadt Bremen;2016-01;Sonstige Einrichtungen 3);14381;1874
04011;Stadt Bremen;2016-01;Insgesamt;123355;64771
04011;Stadt Bremen;2015-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;149004;87491
04011;Stadt Bremen;2015-12;Sonstige Einrichtungen 3);14293;2126
04011;Stadt Bremen;2015-12;Insgesamt;163297;89617
04011;Stadt Bremen;2015-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;153293;87993
04011;Stadt Bremen;2015-11;Sonstige Einrichtungen 3);12759;2720
04011;Stadt Bremen;2015-11;Insgesamt;166052;90713
04011;Stadt Bremen;2015-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;173429;98219
04011;Stadt Bremen;2015-10;Sonstige Einrichtungen 3);15935;3707
04011;Stadt Bremen;2015-10;Insgesamt;189364;101926
04011;Stadt Bremen;2015-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;163067;92702
04011;Stadt Bremen;2015-09;Sonstige Einrichtungen 3);14467;3389
04011;Stadt Bremen;2015-09;Insgesamt;177534;96091
04011;Stadt Bremen;2015-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;157586;87325
04011;Stadt Bremen;2015-08;Sonstige Einrichtungen 3);15008;3586
04011;Stadt Bremen;2015-08;Insgesamt;172594;90911
04011;Stadt Bremen;2015-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;153089;88303
04011;Stadt Bremen;2015-07;Sonstige Einrichtungen 3);16219;3967
04011;Stadt Bremen;2015-07;Insgesamt;169308;92270
04011;Stadt Bremen;2015-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;154135;88761
04011;Stadt Bremen;2015-06;Sonstige Einrichtungen 3);14825;3554
04011;Stadt Bremen;2015-06;Insgesamt;168960;92315
04011;Stadt Bremen;2015-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;158045;88171
04011;Stadt Bremen;2015-05;Sonstige Einrichtungen 3);16107;3721
04011;Stadt Bremen;2015-05;Insgesamt;174152;91892
04011;Stadt Bremen;2015-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;136248;79347
04011;Stadt Bremen;2015-04;Sonstige Einrichtungen 3);13855;2862
04011;Stadt Bremen;2015-04;Insgesamt;150103;82209
04011;Stadt Bremen;2015-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;131369;75231
04011;Stadt Bremen;2015-03;Sonstige Einrichtungen 3);15410;2903
04011;Stadt Bremen;2015-03;Insgesamt;146779;78134
04011;Stadt Bremen;2015-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;117079;68576
04011;Stadt Bremen;2015-02;Sonstige Einrichtungen 3);13786;2431
04011;Stadt Bremen;2015-02;Insgesamt;130865;71007
04011;Stadt Bremen;2015-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;111513;63832
04011;Stadt Bremen;2015-01;Sonstige Einrichtungen 3);12709;2251
04011;Stadt Bremen;2015-01;Insgesamt;124222;66083
04011;Stadt Bremen;2014-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;144775;83815
04011;Stadt Bremen;2014-12;Sonstige Einrichtungen 3);14697;2728
04011;Stadt Bremen;2014-12;Insgesamt;159472;86543
04011;Stadt Bremen;2014-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;160341;86314
04011;Stadt Bremen;2014-11;Sonstige Einrichtungen 3);15075;2678
04011;Stadt Bremen;2014-11;Insgesamt;175416;88992
04011;Stadt Bremen;2014-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;172140;98423
04011;Stadt Bremen;2014-10;Sonstige Einrichtungen 3);15978;3554
04011;Stadt Bremen;2014-10;Insgesamt;188118;101977
04011;Stadt Bremen;2014-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;154124;88012
04011;Stadt Bremen;2014-09;Sonstige Einrichtungen 3);15430;3691
04011;Stadt Bremen;2014-09;Insgesamt;169554;91703
04011;Stadt Bremen;2014-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;148902;81635
04011;Stadt Bremen;2014-08;Sonstige Einrichtungen 3);14768;3390
04011;Stadt Bremen;2014-08;Insgesamt;163670;85025
04011;Stadt Bremen;2014-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;141677;81709
04011;Stadt Bremen;2014-07;Sonstige Einrichtungen 3);16805;4082
04011;Stadt Bremen;2014-07;Insgesamt;158482;85791
04011;Stadt Bremen;2014-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;137744;78633
04011;Stadt Bremen;2014-06;Sonstige Einrichtungen 3);13791;3243
04011;Stadt Bremen;2014-06;Insgesamt;151535;81876
04011;Stadt Bremen;2014-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;153176;87167
04011;Stadt Bremen;2014-05;Sonstige Einrichtungen 3);15174;3399
04011;Stadt Bremen;2014-05;Insgesamt;168350;90566
04011;Stadt Bremen;2014-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;127660;70611
04011;Stadt Bremen;2014-04;Sonstige Einrichtungen 3);14019;3237
04011;Stadt Bremen;2014-04;Insgesamt;141679;73848
04011;Stadt Bremen;2014-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;132378;74329
04011;Stadt Bremen;2014-03;Sonstige Einrichtungen 3);13464;2610
04011;Stadt Bremen;2014-03;Insgesamt;145842;76939
04011;Stadt Bremen;2014-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;117264;68947
04011;Stadt Bremen;2014-02;Sonstige Einrichtungen 3);11723;2445
04011;Stadt Bremen;2014-02;Insgesamt;128987;71392
04011;Stadt Bremen;2014-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;104247;61662
04011;Stadt Bremen;2014-01;Sonstige Einrichtungen 3);7244;1643
04011;Stadt Bremen;2014-01;Insgesamt;111491;63305
