469-30: Beherbergungsbetriebe, Gästebetten,Zeit,Zeit,,
Gebietsschlüssel,Gebietseinheit,Jahr,Monat,Tourismus (Monatszahlen) 1),Tourismus (Monatszahlen) 1)
,,,,Gästeübernachtungen,Gästeankünfte
,,,,insgesamt,insgesamt
4011,Stadt Bremen,2012,12,4201,2012
4011,Stadt Bremen,2012,11,130377,75932
4011,Stadt Bremen,2012,11,5965,2836
4011,Stadt Bremen,2012,10,143148,79280
4011,Stadt Bremen,2012,10,10519,4577
4011,Stadt Bremen,2012,9,141300,79252
4011,Stadt Bremen,2012,9,10365,4339
4011,Stadt Bremen,2012,8,117250,65311
4011,Stadt Bremen,2012,8,11774,5275
4011,Stadt Bremen,2012,7,122072,68670
4011,Stadt Bremen,2012,7,12562,6112
4011,Stadt Bremen,2012,6,126161,71559
4011,Stadt Bremen,2012,6,10378,5035
4011,Stadt Bremen,2012,5,124144,73840
4011,Stadt Bremen,2012,5,11039,4779
4011,Stadt Bremen,2012,4,116594,68067
4011,Stadt Bremen,2012,4,9999,4566
4011,Stadt Bremen,2012,3,109113,66384
4011,Stadt Bremen,2012,3,7241,3367
4011,Stadt Bremen,2012,2,106855,65893
4011,Stadt Bremen,2012,2,3162,1653
4011,Stadt Bremen,2012,1,96791,59513
4011,Stadt Bremen,2012,1,2984,1541
4011,Stadt Bremen,2011,12,121608,74691
4011,Stadt Bremen,2011,12,5079,2585
4011,Stadt Bremen,2011,11,127856,78588
4011,Stadt Bremen,2011,11,6452,3108
4011,Stadt Bremen,2011,10,140863,81306
4011,Stadt Bremen,2011,10,9435,4613
4011,Stadt Bremen,2011,9,138589,79995
4011,Stadt Bremen,2011,9,9323,4514
4011,Stadt Bremen,2011,8,128439,73706
4011,Stadt Bremen,2011,8,11290,5647
4011,Stadt Bremen,2011,7,122825,71705
4011,Stadt Bremen,2011,7,11878,5982
4011,Stadt Bremen,2011,6,124098,71384
4011,Stadt Bremen,2011,6,12452,5897
4011,Stadt Bremen,2011,5,138520,82328
4011,Stadt Bremen,2011,5,10233,4412
4011,Stadt Bremen,2011,4,118003,69429
4011,Stadt Bremen,2011,4,10067,4394
4011,Stadt Bremen,2011,3,110055,66883
4011,Stadt Bremen,2011,3,7059,3324
4011,Stadt Bremen,2011,2,95964,57950
4011,Stadt Bremen,2011,2,4793,2250
4011,Stadt Bremen,2011,1,85701,53160
4011,Stadt Bremen,2011,1,4140,2062
4011,Stadt Bremen,2010,12,118622,73864
4011,Stadt Bremen,2010,12,4841,2406
4011,Stadt Bremen,2010,11,118318,73892
4011,Stadt Bremen,2010,11,6280,3285
4011,Stadt Bremen,2010,10,141660,83160
4011,Stadt Bremen,2010,10,10069,4534
4011,Stadt Bremen,2010,9,130720,78666
4011,Stadt Bremen,2010,9,8986,4092
4011,Stadt Bremen,2010,8,121270,70720
4011,Stadt Bremen,2010,8,12371,6125
4011,Stadt Bremen,2010,7,114160,63937
4011,Stadt Bremen,2010,7,12218,6055
4011,Stadt Bremen,2010,6,112744,67515
4011,Stadt Bremen,2010,6,10297,4628
4011,Stadt Bremen,2010,5,118927,70721
4011,Stadt Bremen,2010,5,12429,5818
4011,Stadt Bremen,2010,4,109150,66658
4011,Stadt Bremen,2010,4,8216,3816
4011,Stadt Bremen,2010,3,96728,57192
4011,Stadt Bremen,2010,3,9097,3869
4011,Stadt Bremen,2010,2,92798,56935
4011,Stadt Bremen,2010,2,5191,2325
4011,Stadt Bremen,2010,1,77657,46693
4011,Stadt Bremen,2010,1,2742,1194
4011,Stadt Bremen,2009,12,105902,62584
4011,Stadt Bremen,2009,12,6388,2772
4011,Stadt Bremen,2009,11,104038,63149
4011,Stadt Bremen,2009,11,6341,3241
4011,Stadt Bremen,2009,10,120058,69287
4011,Stadt Bremen,2009,10,9655,4352
4011,Stadt Bremen,2009,9,117982,67154
4011,Stadt Bremen,2009,9,10772,4524
4011,Stadt Bremen,2009,8,113077,62925
4011,Stadt Bremen,2009,8,11658,5494
4011,Stadt Bremen,2009,7,96678,55645
4011,Stadt Bremen,2009,7,11616,5753
4011,Stadt Bremen,2009,6,107075,61859
4011,Stadt Bremen,2009,6,9871,4685
4011,Stadt Bremen,2009,5,122662,68266
4011,Stadt Bremen,2009,5,10766,4058
4011,Stadt Bremen,2009,4,99446,58783
4011,Stadt Bremen,2009,4,9150,3935
4011,Stadt Bremen,2009,3,94212,55780
4011,Stadt Bremen,2009,3,5202,2420
