469-30: Beherbergungsbetriebe, G�stebetten, -�bernachtungen, -ank�nfte nach Betriebsarten (Monatszahlen);;;;;
Gebietsschl�ssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;G�ste�bernachtungen;G�steank�nfte
;;;;insgesamt;insgesamt
4011;Stadt Bremen;2016-07;Sonstige Einrichtungen 3);15686;3861
4011;Stadt Bremen;2016-07;Insgesamt;157713;84382
4011;Stadt Bremen;2016-06;Hotels, Hotels garnis, Gasth�fe, Pensionen;144791;83447
4011;Stadt Bremen;2016-06;Sonstige Einrichtungen 3);15722;3480
4011;Stadt Bremen;2016-06;Insgesamt;160513;86927
4011;Stadt Bremen;2016-05;Hotels, Hotels garnis, Gasth�fe, Pensionen;159840;87893
4011;Stadt Bremen;2016-05;Sonstige Einrichtungen 3);15165;3539
4011;Stadt Bremen;2016-05;Insgesamt;175005;91432
4011;Stadt Bremen;2016-04;Hotels, Hotels garnis, Gasth�fe, Pensionen;153846;89356
4011;Stadt Bremen;2016-04;Sonstige Einrichtungen 3);14421;2956
4011;Stadt Bremen;2016-04;Insgesamt;168267;92312
4011;Stadt Bremen;2016-03;Hotels, Hotels garnis, Gasth�fe, Pensionen;134409;74882
4011;Stadt Bremen;2016-03;Sonstige Einrichtungen 3);14794;2983
4011;Stadt Bremen;2016-03;Insgesamt;149203;77865
4011;Stadt Bremen;2016-02;Hotels, Hotels garnis, Gasth�fe, Pensionen;130507;75678
4011;Stadt Bremen;2016-02;Sonstige Einrichtungen 3);11844;1919
4011;Stadt Bremen;2016-02;Insgesamt;142351;77597
4011;Stadt Bremen;2016-01;Hotels, Hotels garnis, Gasth�fe, Pensionen;108974;62897
4011;Stadt Bremen;2016-01;Sonstige Einrichtungen 3);14381;1874
4011;Stadt Bremen;2016-01;Insgesamt;123355;64771
4011;Stadt Bremen;2015-12;Hotels, Hotels garnis, Gasth�fe, Pensionen;149004;87491
4011;Stadt Bremen;2015-12;Sonstige Einrichtungen 3);14293;2126
4011;Stadt Bremen;2015-12;Insgesamt;163297;89617
4011;Stadt Bremen;2015-11;Hotels, Hotels garnis, Gasth�fe, Pensionen;153293;87993
4011;Stadt Bremen;2015-11;Sonstige Einrichtungen 3);12759;2720
4011;Stadt Bremen;2015-11;Insgesamt;166052;90713
4011;Stadt Bremen;2015-10;Hotels, Hotels garnis, Gasth�fe, Pensionen;173429;98219
4011;Stadt Bremen;2015-10;Sonstige Einrichtungen 3);15935;3707
4011;Stadt Bremen;2015-10;Insgesamt;189364;101926
4011;Stadt Bremen;2015-09;Hotels, Hotels garnis, Gasth�fe, Pensionen;163067;92702
4011;Stadt Bremen;2015-09;Sonstige Einrichtungen 3);14467;3389
4011;Stadt Bremen;2015-09;Insgesamt;177534;96091
4011;Stadt Bremen;2015-08;Hotels, Hotels garnis, Gasth�fe, Pensionen;157586;87325
4011;Stadt Bremen;2015-08;Sonstige Einrichtungen 3);15008;3586
4011;Stadt Bremen;2015-08;Insgesamt;172594;90911
4011;Stadt Bremen;2015-07;Hotels, Hotels garnis, Gasth�fe, Pensionen;153089;88303
4011;Stadt Bremen;2015-07;Sonstige Einrichtungen 3);16219;3967
4011;Stadt Bremen;2015-07;Insgesamt;169308;92270
4011;Stadt Bremen;2015-06;Hotels, Hotels garnis, Gasth�fe, Pensionen;154135;88761
4011;Stadt Bremen;2015-06;Sonstige Einrichtungen 3);14825;3554
4011;Stadt Bremen;2015-06;Insgesamt;168960;92315
4011;Stadt Bremen;2015-05;Hotels, Hotels garnis, Gasth�fe, Pensionen;158045;88171
4011;Stadt Bremen;2015-05;Sonstige Einrichtungen 3);16107;3721
4011;Stadt Bremen;2015-05;Insgesamt;174152;91892
4011;Stadt Bremen;2015-04;Hotels, Hotels garnis, Gasth�fe, Pensionen;136248;79347
4011;Stadt Bremen;2015-04;Sonstige Einrichtungen 3);13855;2862
4011;Stadt Bremen;2015-04;Insgesamt;150103;82209
4011;Stadt Bremen;2015-03;Hotels, Hotels garnis, Gasth�fe, Pensionen;131369;75231
4011;Stadt Bremen;2015-03;Sonstige Einrichtungen 3);15410;2903
4011;Stadt Bremen;2015-03;Insgesamt;146779;78134
4011;Stadt Bremen;2015-02;Hotels, Hotels garnis, Gasth�fe, Pensionen;117079;68576
4011;Stadt Bremen;2015-02;Sonstige Einrichtungen 3);13786;2431
4011;Stadt Bremen;2015-02;Insgesamt;130865;71007
4011;Stadt Bremen;2015-01;Hotels, Hotels garnis, Gasth�fe, Pensionen;111513;63832
4011;Stadt Bremen;2015-01;Sonstige Einrichtungen 3);12709;2251
4011;Stadt Bremen;2015-01;Insgesamt;124222;66083
4011;Stadt Bremen;2014-12;Hotels, Hotels garnis, Gasth�fe, Pensionen;144775;83815
4011;Stadt Bremen;2014-12;Sonstige Einrichtungen 3);14697;2728
4011;Stadt Bremen;2014-12;Insgesamt;159472;86543
4011;Stadt Bremen;2014-11;Hotels, Hotels garnis, Gasth�fe, Pensionen;160341;86314
4011;Stadt Bremen;2014-11;Sonstige Einrichtungen 3);15075;2678
4011;Stadt Bremen;2014-11;Insgesamt;175416;88992
4011;Stadt Bremen;2014-10;Hotels, Hotels garnis, Gasth�fe, Pensionen;172140;98423
4011;Stadt Bremen;2014-10;Sonstige Einrichtungen 3);15978;3554
4011;Stadt Bremen;2014-10;Insgesamt;188118;101977
4011;Stadt Bremen;2014-09;Hotels, Hotels garnis, Gasth�fe, Pensionen;154124;88012
4011;Stadt Bremen;2014-09;Sonstige Einrichtungen 3);15430;3691
4011;Stadt Bremen;2014-09;Insgesamt;169554;91703
4011;Stadt Bremen;2014-08;Hotels, Hotels garnis, Gasth�fe, Pensionen;148902;81635
4011;Stadt Bremen;2014-08;Sonstige Einrichtungen 3);14768;3390
4011;Stadt Bremen;2014-08;Insgesamt;163670;85025
4011;Stadt Bremen;2014-07;Hotels, Hotels garnis, Gasth�fe, Pensionen;141677;81709
4011;Stadt Bremen;2014-07;Sonstige Einrichtungen 3);16805;4082
4011;Stadt Bremen;2014-07;Insgesamt;158482;85791
4011;Stadt Bremen;2014-06;Hotels, Hotels garnis, Gasth�fe, Pensionen;137744;78633
4011;Stadt Bremen;2014-06;Sonstige Einrichtungen 3);13791;3243
4011;Stadt Bremen;2014-06;Insgesamt;151535;81876
4011;Stadt Bremen;2014-05;Hotels, Hotels garnis, Gasth�fe, Pensionen;153176;87167
4011;Stadt Bremen;2014-05;Sonstige Einrichtungen 3);15174;3399
4011;Stadt Bremen;2014-05;Insgesamt;168350;90566
4011;Stadt Bremen;2014-04;Hotels, Hotels garnis, Gasth�fe, Pensionen;127660;70611
4011;Stadt Bremen;2014-04;Sonstige Einrichtungen 3);14019;3237
4011;Stadt Bremen;2014-04;Insgesamt;141679;73848
4011;Stadt Bremen;2014-03;Hotels, Hotels garnis, Gasth�fe, Pensionen;132378;74329
4011;Stadt Bremen;2014-03;Sonstige Einrichtungen 3);13464;2610
4011;Stadt Bremen;2014-03;Insgesamt;145842;76939
