id (int),jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
211,12,10,04011,79280,143148
212,12,10,04011,3359,7584
213,12,10,04011,82639,150732
214,12,9,04011,79252,141300
215,12,9,04011,3126,7430
216,12,9,04011,82378,148730
217,12,8,04011,65311,117250
218,12,8,04011,3147,7693
219,12,8,04011,68458,124943
220,12,7,04011,68670,122072
221,12,7,04011,3492,7574
222,12,7,04011,72162,129646
223,12,6,04011,71559,126161
224,12,6,04011,3279,6864
225,12,6,04011,74838,133025
226,12,5,04011,73840,124144
227,12,5,04011,3136,7230
228,12,5,04011,76976,131374
229,12,4,04011,68067,116594
230,12,4,04011,3079,6751
231,12,4,04011,71146,123345
232,12,3,04011,66384,109113
233,12,3,04011,2890,6136
234,12,3,04011,69274,115249
235,12,2,04011,65893,106855
236,12,2,04011,1573,2960
237,12,2,04011,67466,109815
238,12,1,04011,59513,96791
239,12,1,04011,1418,2701
240,12,1,04011,60931,99492
241,11,12,04011,74691,121608
242,11,12,04011,2043,3998
243,11,12,04011,76734,125606
244,11,11,04011,78588,127856
245,11,11,04011,2530,5184
246,11,11,04011,81118,133040
247,11,10,04011,81306,140863
248,11,10,04011,3798,7508
249,11,10,04011,85104,148371
250,11,9,04011,79995,138589
251,11,9,04011,3753,7392
252,11,9,04011,83748,145981
253,11,8,04011,73706,128439
254,11,8,04011,3711,7319
255,11,8,04011,77417,135758
256,11,7,04011,71705,122825
257,11,7,04011,3803,7451
258,11,7,04011,75508,130276
259,11,6,04011,71384,124098
260,11,6,04011,4134,8419
261,11,6,04011,75518,132517
262,11,5,04011,82328,138520
263,11,5,04011,3307,7673
264,11,5,04011,85635,146193
265,11,4,04011,69429,118003
266,11,4,04011,3055,6827
267,11,4,04011,72484,124830
268,11,3,04011,66883,110055
269,11,3,04011,2828,6069
270,11,3,04011,69711,116124
271,11,2,04011,57950,95964
272,11,2,04011,2152,4536
273,11,2,04011,60102,100500
274,11,1,04011,53160,85701
275,11,1,04011,1968,3896
276,11,1,04011,55128,89597
277,10,12,04011,73864,118622
278,10,12,04011,2155,4238
279,10,12,04011,76019,122860
280,10,11,04011,73892,118318
281,10,11,04011,2687,5269
282,10,11,04011,76579,123587
283,10,10,04011,83160,141660
284,10,10,04011,3860,8220
285,10,10,04011,87020,149880
286,10,9,04011,78666,130720
