469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;geöffnete Beherbergungsbetriebe;angebotene Gästebetten 2);Gästeübernachtungen;Gästeübernachtungen;Gästeankünfte;Gästeankünfte
;;;;;;insgesamt;darunter aus dem Ausland;insgesamt;darunter aus dem Ausland
04011;Stadt Bremen;2017-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;84;10448;149865;36926;86571;19740
04011;Stadt Bremen;2017-04;Sonstige Einrichtungen 3);6;680;13991;2029;3423;1030
04011;Stadt Bremen;2017-04;Insgesamt;90;11128;163856;38955;89994;20770
04011;Stadt Bremen;2017-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;84;10448;134793;27961;80827;14668
04011;Stadt Bremen;2017-03;Sonstige Einrichtungen 3);6;680;14420;904;2900;394
04011;Stadt Bremen;2017-03;Insgesamt;90;11128;149213;28865;83727;15062
04011;Stadt Bremen;2017-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;84;10448;119149;24556;71231;12523
04011;Stadt Bremen;2017-02;Sonstige Einrichtungen 3);6;680;10895;927;2129;369
04011;Stadt Bremen;2017-02;Insgesamt;90;11128;130044;25483;73360;12892
04011;Stadt Bremen;2017-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;84;10448;110495;23312;67141;12241
04011;Stadt Bremen;2017-01;Sonstige Einrichtungen 3);6;680;10759;598;2125;241
04011;Stadt Bremen;2017-01;Insgesamt;90;11128;121254;23910;69266;12482
04011;Stadt Bremen;2016-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;83;10465;149675;31709;89032;16464
