jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
2011,2,04012,9137,17402
2011,1,04012,8708,20808
2010,12,04012,9320,21904
2010,11,04012,12548,24252
2010,10,04012,17965,34939
2010,9,04012,16583,32319
2010,8,04012,17005,36003
2010,7,04012,16593,33576
2010,6,04012,15577,31137
2010,5,04012,16333,31773
2010,4,04012,12952,26836
2010,3,04012,11596,23344
2010,2,04012,8262,16165
2010,1,04012,8722,16369
2009,12,04012,8627,16630
2009,11,04012,10906,20425
2009,10,04012,13893,28044
2009,9,04012,13240,28464
2009,8,04012,13676,28702
2009,7,04012,12206,26228
2009,6,04012,12284,24451
2009,5,04012,12659,27242
2009,4,04012,9471,21356
2009,3,04012,8452,18955
2009,2,04012,7385,15844
2009,1,04012,6435,13939
2008,12,04012,7671,15178
2008,11,04012,8394,18302
2008,10,04012,11829,24754
2008,9,04012,13384,27054
2008,8,04012,13956,29777
2008,7,04012,14719,28030
2008,6,04012,13700,23872
2008,5,04012,14086,25853
2008,4,04012,10837,19590
2008,3,04012,11789,22318
2008,2,04012,7257,13756
2008,1,04012,6425,13413
