469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;geöffnete Beherbergungsbetriebe;angebotene Gästebetten 2);Gästeübernachtungen;Gästeübernachtungen;Gästeankünfte;Gästeankünfte
;;;;;;insgesamt;darunter aus dem Ausland;insgesamt;darunter aus dem Ausland
04;Land Bremen;2016-12;Sonstige Einrichtungen 3);7;850;12644;1232;2803;564
04;Land Bremen;2016-12;Insgesamt;112;13602;182433;36025;103143;18285
04;Land Bremen;2016-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12752;170733;35420;100706;17830
04;Land Bremen;2016-11;Sonstige Einrichtungen 3);7;850;14095;1150;3234;538
04;Land Bremen;2016-11;Insgesamt;112;13602;184828;36570;103940;18368
04;Land Bremen;2016-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12752;201140;42109;113756;21518
04;Land Bremen;2016-10;Sonstige Einrichtungen 3);7;850;18608;1606;4995;772
04;Land Bremen;2016-10;Insgesamt;112;13602;219748;43715;118751;22290
04;Land Bremen;2016-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12752;200812;41679;115555;21392
04;Land Bremen;2016-09;Sonstige Einrichtungen 3);7;850;19157;1825;4965;896
04;Land Bremen;2016-09;Insgesamt;112;13602;219969;43504;120520;22288
04;Land Bremen;2016-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12752;199693;45579;112447;24003
04;Land Bremen;2016-08;Sonstige Einrichtungen 3);7;850;19834;3921;5415;2082
04;Land Bremen;2016-08;Insgesamt;112;13602;219527;49500;117862;26085
04;Land Bremen;2016-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12752;178256;48470;99747;26210
04;Land Bremen;2016-07;Sonstige Einrichtungen 3);7;850;19719;5177;5585;2795
04;Land Bremen;2016-07;Insgesamt;112;13602;197975;53647;105332;29005
04;Land Bremen;2016-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12752;177162;39616;101283;20589
04;Land Bremen;2016-06;Sonstige Einrichtungen 3);7;850;19346;3131;4915;1555
04;Land Bremen;2016-06;Insgesamt;112;13602;196508;42747;106198;22144
04;Land Bremen;2016-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12752;196499;39692;106521;20199
04;Land Bremen;2016-05;Sonstige Einrichtungen 3);7;850;19134;2741;5231;1188
04;Land Bremen;2016-05;Insgesamt;112;13602;215633;42433;111752;21387
04;Land Bremen;2016-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12752;183436;41628;103914;21090
04;Land Bremen;2016-04;Sonstige Einrichtungen 3);7;850;17003;1788;4033;765
04;Land Bremen;2016-04;Insgesamt;112;13602;200439;43416;107947;21855
04;Land Bremen;2016-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12752;161243;33167;88647;16360
04;Land Bremen;2016-03;Sonstige Einrichtungen 3);7;850;17996;1274;4030;517
04;Land Bremen;2016-03;Insgesamt;112;13602;179239;34441;92677;16877
04;Land Bremen;2016-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12752;150460;30523;86811;15814
04;Land Bremen;2016-02;Sonstige Einrichtungen 3);7;850;13407;1080;2694;296
04;Land Bremen;2016-02;Insgesamt;112;13602;163867;31603;89505;16110
04;Land Bremen;2016-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;105;12752;129412;27404;72577;12607
04;Land Bremen;2016-01;Sonstige Einrichtungen 3);7;850;15891;964;2541;340
04;Land Bremen;2016-01;Insgesamt;112;13602;145303;28368;75118;12947
04;Land Bremen;2015-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;108;12840;170699;38979;98389;19597
04;Land Bremen;2015-12;Sonstige Einrichtungen 3);8;914;16268;1369;2733;544
04;Land Bremen;2015-12;Insgesamt;116;13754;186967;40348;101122;20141
04;Land Bremen;2015-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;108;12840;179485;38618;101571;19060
04;Land Bremen;2015-11;Sonstige Einrichtungen 3);8;914;14513;1139;3266;445
04;Land Bremen;2015-11;Insgesamt;116;13754;193998;39757;104837;19505
04;Land Bremen;2015-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;108;12840;203377;43632;114416;21322
04;Land Bremen;2015-10;Sonstige Einrichtungen 3);8;914;19105;1750;5022;741
04;Land Bremen;2015-10;Insgesamt;116;13754;222482;45382;119438;22063
04;Land Bremen;2015-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;108;12840;195908;38580;109377;19654
04;Land Bremen;2015-09;Sonstige Einrichtungen 3);8;914;17866;1963;4652;994
04;Land Bremen;2015-09;Insgesamt;116;13754;213774;40543;114029;20648
04;Land Bremen;2015-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;108;12840;193811;47541;105245;24359
04;Land Bremen;2015-08;Sonstige Einrichtungen 3);8;914;19302;4752;5275;2510
04;Land Bremen;2015-08;Insgesamt;116;13754;213113;52293;110520;26869
04;Land Bremen;2015-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;108;12840;183266;51884;104525;28328
04;Land Bremen;2015-07;Sonstige Einrichtungen 3);8;914;20508;5587;5808;3196
04;Land Bremen;2015-07;Insgesamt;116;13754;203774;57471;110333;31524
04;Land Bremen;2015-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;108;12840;182799;42704;104339;21514
04;Land Bremen;2015-06;Sonstige Einrichtungen 3);8;914;18360;2480;4997;1204
04;Land Bremen;2015-06;Insgesamt;116;13754;201159;45184;109336;22718
04;Land Bremen;2015-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;108;12840;189668;38860;105253;19413
04;Land Bremen;2015-05;Sonstige Einrichtungen 3);8;914;20132;3385;5435;1456
04;Land Bremen;2015-05;Insgesamt;116;13754;209800;42245;110688;20869
04;Land Bremen;2015-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;108;12840;162121;38901;93486;20567
04;Land Bremen;2015-04;Sonstige Einrichtungen 3);8;914;17782;2230;4161;1034
04;Land Bremen;2015-04;Insgesamt;116;13754;179903;41131;97647;21601
04;Land Bremen;2015-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;108;12840;155723;34334;87275;16293
04;Land Bremen;2015-03;Sonstige Einrichtungen 3);8;914;17637;1758;3894;608
04;Land Bremen;2015-03;Insgesamt;116;13754;173360;36092;91169;16901
04;Land Bremen;2015-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;108;12840;136787;27373;78748;13759
04;Land Bremen;2015-02;Sonstige Einrichtungen 3);8;914;15290;1660;3287;591
04;Land Bremen;2015-02;Insgesamt;116;13754;152077;29033;82035;14350
04;Land Bremen;2015-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;108;12840;129336;29012;72967;13116
04;Land Bremen;2015-01;Sonstige Einrichtungen 3);8;914;14044;1259;2844;438
04;Land Bremen;2015-01;Insgesamt;116;13754;143380;30271;75811;13554
