jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
4011,2012,05,7230,3136
4011,2012,05,131374,76976
4011,2012,04,116594,68067
4011,2012,04,6751,3079
4011,2012,04,123345,71146
4011,2012,03,109113,66384
4011,2012,03,6136,2890
4011,2012,03,115249,69274
4011,2012,02,106855,65893
4011,2012,02,2960,1573
4011,2012,02,109815,67466
4011,2012,01,96791,59513
4011,2012,01,2701,1418
4011,2012,01,99492,60931
4011,2011,12,121608,74691
4011,2011,12,3998,2043
4011,2011,12,125606,76734
4011,2011,11,127856,78588
4011,2011,11,5184,2530
4011,2011,11,133040,81118
4011,2011,10,140863,81306
4011,2011,10,7508,3798
4011,2011,10,148371,85104
4011,2011,09,138589,79995
4011,2011,09,7392,3753
4011,2011,09,145981,83748
4011,2011,08,128439,73706
4011,2011,08,7319,3711
4011,2011,08,135758,77417
4011,2011,07,122825,71705
4011,2011,07,7451,3803
4011,2011,07,130276,75508
4011,2011,06,124098,71384
4011,2011,06,8419,4134
4011,2011,06,132517,75518
4011,2011,05,138520,82328
4011,2011,05,7673,3307
4011,2011,05,146193,85635
4011,2011,04,118003,69429
4011,2011,04,6827,3055
4011,2011,04,124830,72484
4011,2011,03,110055,66883
4011,2011,03,6069,2828
4011,2011,03,116124,69711
4011,2011,02,95964,57950
4011,2011,02,4536,2152
4011,2011,02,100500,60102
4011,2011,01,85701,53160
4011,2011,01,3896,1968
4011,2011,01,89597,55128
4011,2010,12,118622,73864
4011,2010,12,4238,2155
4011,2010,12,122860,76019
4011,2010,11,118318,73892
4011,2010,11,5269,2687
4011,2010,11,123587,76579
4011,2010,10,141660,83160
4011,2010,10,8220,3860
4011,2010,10,149880,87020
4011,2010,09,130720,78666
4011,2010,09,7069,3308
4011,2010,09,137789,81974
4011,2010,08,121270,70720
4011,2010,08,8133,4111
4011,2010,08,129403,74831
4011,2010,07,114160,63937
4011,2010,07,7512,3583
4011,2010,07,121672,67520
4011,2010,06,112744,67515
4011,2010,06,7245,3364
4011,2010,06,119989,70879
4011,2010,05,118927,70721
4011,2010,05,8667,3985
4011,2010,05,127594,74706
4011,2010,04,109150,66658
4011,2010,04,6574,2932
4011,2010,04,115724,69590
4011,2010,03,96728,57192
4011,2010,03,8100,3437
4011,2010,03,104828,60629
4011,2010,02,92798,56935
4011,2010,02,4929,2203
4011,2010,02,97727,59138
4011,2010,01,77657,46693
4011,2010,01,2619,1141
4011,2010,01,80276,47834
4011,2009,12,105902,62584
4011,2009,12,3496,1619
4011,2009,12,109398,64203
4011,2009,11,104038,63149
4011,2009,11,4799,2402
4011,2009,11,108837,65551
4011,2009,10,120058,69287
4011,2009,10,7688,3519
4011,2009,10,127746,72806
4011,2009,09,117982,67154
4011,2009,09,8663,3501
4011,2009,09,126645,70655
4011,2009,08,113077,62925
4011,2009,08,7779,3638
4011,2009,08,120856,66563
4011,2009,07,96678,55645
4011,2009,07,7819,3865
4011,2009,07,104497,59510
4011,2009,06,107075,61859
4011,2009,06,7027,3425
4011,2009,06,114102,65284
4011,2009,05,122662,68266
4011,2009,05,6565,2544
4011,2009,05,129227,70810
4011,2009,04,99446,58783
4011,2009,04,8260,3560
4011,2009,04,107706,62343
4011,2009,03,94212,55780
4011,2009,03,4866,2254
4011,2009,03,99078,58034
4011,2009,02,85827,51874
4011,2009,02,4275,1933
4011,2009,02,90102,53807
4011,2009,01,73349,44328
4011,2009,01,3105,1475
4011,2009,01,76454,45803
4011,2008,12,101126,61323
4011,2008,12,4518,2501
4011,2008,12,105644,63824
4011,2008,11,112325,67617
4011,2008,11,5020,2368
4011,2008,11,117345,69985
4011,2008,10,119189,67567
4011,2008,10,7612,3627
4011,2008,10,126801,71194
4011,2008,09,124515,72796
4011,2008,09,7816,3206
4011,2008,09,132331,76002
4011,2008,08,113722,63345
4011,2008,08,8097,3919
4011,2008,08,121819,67264
4011,2008,07,101973,56298
4011,2008,07,6907,3401
4011,2008,07,108880,59699
4011,2008,06,109662,65063
4011,2008,06,7915,3411
4011,2008,06,117577,68474
4011,2008,05,110661,62620
4011,2008,05,8618,3244
4011,2008,05,119279,65864
4011,2008,04,106178,64769
4011,2008,04,7514,3103
4011,2008,04,113692,67872
4011,2008,03,91334,52736
4011,2008,03,6260,2868
4011,2008,03,97594,55604
4011,2008,02,96795,58960
4011,2008,02,4419,1931
4011,2008,02,101214,60891
4011,2008,01,87756,53532
4011,2008,01,3971,1657
4011,2008,01,91727,55189
4012,2018,08,44327,25379
4012,2018,08,3792,1551
4012,2018,08,48119,26930
4012,2018,07,41679,23970
4012,2018,07,3917,1773
4012,2018,07,45596,25743
4012,2018,06,38113,21729
4012,2018,06,3818,1398
4012,2018,06,41931,23127
4012,2018,05,40281,23471
4012,2018,05,3683,1647
4012,2018,05,43964,25118
4012,2018,04,31052,16813
4012,2018,04,3131,1317
4012,2018,04,34183,18130
4012,2018,03,27678,14637
4012,2018,03,3624,1270
4012,2018,03,31302,15907
4012,2018,02,24186,12494
4012,2018,02,1831,939
4012,2018,02,26017,13433
4012,2018,01,20543,10913
4012,2018,01,1315,602
4012,2018,01,21858,11515
4012,2017,12,21064,11875
4012,2017,12,1638,622
4012,2017,12,22702,12497
4012,2017,11,23842,12854
4012,2017,11,2211,960
4012,2017,11,26053,13814
4012,2017,10,33750,17759
4012,2017,10,3545,1403
4012,2017,10,37295,19162
4012,2017,09,33998,19841
4012,2017,09,4150,1685
4012,2017,09,38148,21526
4012,2017,08,39216,21583
4012,2017,08,4227,1774
4012,2017,08,43443,23357
4012,2017,07,35823,20370
4012,2017,07,4130,1838
4012,2017,07,39953,22208
4012,2017,06,34736,19830
4012,2017,06,4058,1831
4012,2017,06,38794,21661
4012,2017,05,33371,18645
4012,2017,05,4191,1723
4012,2017,05,37562,20368
4012,2017,04,28325,14961
4012,2017,04,4035,1615
4012,2017,04,32360,16576
4012,2017,03,24252,12368
4012,2017,03,2576,930
4012,2017,03,26828,13298
4012,2017,02,22063,11388
4012,2017,02,1297,510
4012,2017,02,23360,11898
4012,2017,01,19680,10867
4012,2017,01,1020,418
4012,2017,01,20700,11285
4012,2016,12,20114,11308
4012,2016,12,984,417
4012,2016,12,21098,11725
4012,2016,11,22338,12571
