Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",,,,,,,,,
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,,,,,,,,,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",November 2016,,,,,Januar - November 2016,,,,
,,Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 4)",Ankünfte,,Übernachtungen,,"durch-
schnitt-
liche
Aufent-
halts-
dauer 4)"
,,"ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
monat","ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
monat",,"ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
zeitraum","ins-
gesamt","Verän-
derung
zum
Vor-
jahres-
zeitraum",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Anzahl,%,Anzahl,%,Anzahl,,%,Anzahl,%,Anzahl
1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,
1  ,Mecklenburg-Vorpommern,363.933,"1,5 ",1.178.717,"- 0,6 ","3,2  ",7.225.170,"2,7 ",29.182.004,"3,1 ","4,0  "
2  ,  Deutschland,346.222,"1,4 ",1.137.637,"- 0,7 ","3,3  ",6.861.596,"2,7 ",28.190.168,"3,1 ","4,1  "
3  ,  Ausland,17.711,"4,5 ",41.080,"2,8 ","2,3  ",363.574,"1,5 ",991.836,"1,4 ","2,7  "
,,,,,,,,,,,
4  ,"  Rostock, Hansestadt",53.288,"1,6 ",115.594,"1,3 ","2,2  ",704.986,"2,1 ",1.849.963,"2,1 ","2,6  "
5  ,    Deutschland,47.734,"1,5 ",104.764,"2,5 ","2,2  ",646.957,"2,1 ",1.724.070,"3,1 ","2,7  "
6  ,    Ausland,5.554,"2,0 ",10.830,"- 9,6 ","1,9  ",58.029,"2,2 ",125.893,"- 9,3 ","2,2  "
,,,,,,,,,,,
7  ,"  Schwerin, Landeshauptstadt",13.206,"6,3 ",21.149,"9,7 ","1,6  ",186.915,"2,8 ",325.136,"4,6 ","1,7  "
8  ,    Deutschland,11.716,"7,6 ",18.828,"11,8 ","1,6  ",162.636,"3,9 ",284.614,"5,6 ","1,8  "
9  ,    Ausland,1.490,"- 3,2 ",2.321,"- 4,8 ","1,6  ",24.279,"- 4,5 ",40.522,"- 1,6 ","1,7  "
,,,,,,,,,,,
,  Mecklenburgische,,,,,,,,,,
10  ,    Seenplatte,38.262,"- 1,7 ",112.422,"- 1,0 ","2,9  ",952.349,"0,8 ",3.392.199,"1,9 ","3,6  "
11  ,    Deutschland,37.453,"- 1,1 ",110.441,"- 0,8 ","2,9  ",922.496,"0,9 ",3.312.270,"1,9 ","3,6  "
12  ,    Ausland,809,"- 24,0 ",1.981,"- 11,0 ","2,4  ",29.853,"- 0,3 ",79.929,"2,1 ","2,7  "
,,,,,,,,,,,
13  ,  Landkreis Rostock,53.218,"- 2,1 ",206.561,"- 1,3 ","3,9  ",1.044.512,"2,5 ",4.625.310,"1,4 ","4,4  "
14  ,    Deutschland,51.434,"- 2,3 ",202.087,"- 1,4 ","3,9  ",1.004.662,"2,5 ",4.517.898,"1,5 ","4,5  "
15  ,    Ausland,1.784,"5,6 ",4.474,"6,4 ","2,5  ",39.850,"1,6 ",107.412,"- 2,3 ","2,7  "
,,,,,,,,,,,
16  ,  Vorpommern-Rügen,89.094,"- 3,0 ",329.887,"- 6,5 ","3,7  ",2.128.485,"3,6 ",9.846.432,"4,0 ","4,6  "
17  ,    Deutschland,85.827,"- 3,8 ",321.648,"- 7,0 ","3,7  ",2.019.015,"3,6 ",9.505.171,"4,0 ","4,7  "
18  ,    Ausland,3.267,"24,8 ",8.239,"16,3 ","2,5  ",109.470,"4,1 ",341.261,"3,5 ","3,1  "
,,,,,,,,,,,
19  ,  Nordwestmecklenburg,27.187,"5,1 ",92.152,"1,3 ","3,4  ",552.743,"2,7 ",2.150.582,"4,5 ","3,9  "
20  ,    Deutschland,25.247,"4,9 ",87.514,"2,1 ","3,5  ",521.411,"3,2 ",2.066.685,"4,9 ","4,0  "
21  ,    Ausland,1.940,"7,6 ",4.638,"- 10,5 ","2,4  ",31.332,"- 5,1 ",83.897,"- 4,5 ","2,7  "
,,,,,,,,,,,
22  ,  Vorpommern-Greifswald,70.095,"10,8 ",246.004,"6,4 ","3,5  ",1.309.686,"5,3 ",5.915.465,"4,6 ","4,5  "
23  ,    Deutschland,69.127,"11,0 ",243.363,"6,5 ","3,5  ",1.277.543,"5,5 ",5.809.828,"4,6 ","4,5  "
24  ,    Ausland,968,"- 4,0 ",2.641,"- 5,7 ","2,7  ",32.143,"- 0,5 ",105.637,"4,8 ","3,3  "
,,,,,,,,,,,
25  ,  Ludwigslust-Parchim,19.583,"1,4 ",54.948,"0,6 ","2,8  ",345.494,"- 5,8 ",1.076.917,"- 4,0 ","3,1  "
26  ,    Deutschland,17.684,"0,8 ",48.992,"- 3,1 ","2,8  ",306.876,"- 7,1 ",969.632,"- 5,9 ","3,2  "
27  ,    Ausland,1.899,"7,0 ",5.956,"47,0 ","3,1  ",38.618,"6,0 ",107.285,"16,4 ","2,8  "
,,,,,,,,,,,
,Nachrichtlich,,,,,,,,,,
,,,,,,,,,,,
28  ,"  Greifswald, Hansestadt 10)",4.697,"- 11,5 ",9.549,"- 7,4 ","2,0  ",86.214,"- 2,3 ",217.494,"4,7 ","2,5  "
29  ,    Deutschland,4.377,"- 10,9 ",8.969,"- 3,7 ","2,0  ",79.111,"- 1,5 ",199.618,"4,7 ","2,5  "
30  ,    Ausland,320,"- 19,2 ",580,"- 41,8 ","1,8  ",7.103,"- 10,5 ",17.876,"4,4 ","2,5  "
,,,,,,,,,,,
