Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Januar 2016,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,261605,952745
2,  Deutschland,253718,931403
3,  Ausland,7887,21342
,,,
4,"  Rostock, Hansestadt",38307,95188
5,    Deutschland,36458,89055
6,    Ausland,1849,6133
,,,
7,"  Schwerin, Landeshauptstadt",8409,13645
8,    Deutschland,7425,12198
9,    Ausland,984,1447
,,,
,  Mecklenburgische,,
10,    Seenplatte,26315,95645
11,    Deutschland,25793,94418
12,    Ausland,522,1227
,,,
13,  Landkreis Rostock,42240,170248
14,    Deutschland,41475,167435
15,    Ausland,765,2813
,,,
16,  Vorpommern-Rügen,65489,270368
17,    Deutschland,64184,267077
18,    Ausland,1305,3291
,,,
19,  Nordwestmecklenburg,19337,76067
20,    Deutschland,18776,73892
21,    Ausland,561,2175
,,,
22,  Vorpommern-Greifswald,47541,188853
23,    Deutschland,46903,187381
24,    Ausland,638,1472
,,,
25,  Ludwigslust-Parchim,13967,42731
26,    Deutschland,12704,39947
27,    Ausland,1263,2784
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",3321,7286
29,    Deutschland,3044,6714
30,    Ausland,277,572
,,,
31,"  Neubrandenburg, Stadt 11)",3003,5380
32,    Deutschland,2896,5013
33,    Ausland,107,367
,,,
34,"  Stralsund, Hansestadt 12)",8853,19400
35,    Deutschland,8403,18446
36,    Ausland,450,954
,,,
37,"  Wismar, Hansestadt 13)",4904,13352
38,    Deutschland,4609,12920
39,    Ausland,295,432
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Februar 2016,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,328315,1156504
2,  Deutschland,316452,1124146
3,  Ausland,11863,32358
,,,
4,"  Rostock, Hansestadt",44635,106211
5,    Deutschland,42511,99911
6,    Ausland,2124,6300
,,,
7,"  Schwerin, Landeshauptstadt",9355,15056
8,    Deutschland,8292,13276
9,    Ausland,1063,1780
,,,
,  Mecklenburgische,,
10,    Seenplatte,29860,100072
11,    Deutschland,29105,96698
12,    Ausland,755,3374
,,,
13,  Landkreis Rostock,52080,202670
14,    Deutschland,49866,196293
15,    Ausland,2214,6377
,,,
16,  Vorpommern-Rügen,87569,355221
17,    Deutschland,85777,350131
18,    Ausland,1792,5090
,,,
19,  Nordwestmecklenburg,23669,85873
20,    Deutschland,22903,83132
21,    Ausland,766,2741
,,,
22,  Vorpommern-Greifswald,64696,244915
23,    Deutschland,64122,243498
24,    Ausland,574,1417
,,,
25,  Ludwigslust-Parchim,16451,46486
26,    Deutschland,13876,41207
27,    Ausland,2575,5279
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",3686,7614
29,    Deutschland,3439,7071
30,    Ausland,247,543
,,,
31,"  Neubrandenburg, Stadt 11)",2897,4868
32,    Deutschland,2692,4434
33,    Ausland,205,434
,,,
34,"  Stralsund, Hansestadt 12)",11617,25392
35,    Deutschland,11092,24155
36,    Ausland,525,1237
,,,
37,"  Wismar, Hansestadt 13)",6436,16419
38,    Deutschland,6057,15828
39,    Ausland,379,591
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",März 2016,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,502415,1770771
2,  Deutschland,485737,1730353
3,  Ausland,16678,40418
,,,
4,"  Rostock, Hansestadt",56010,138791
5,    Deutschland,52200,129287
6,    Ausland,3810,9504
,,,
7,"  Schwerin, Landeshauptstadt",13054,21588
8,    Deutschland,11621,19222
9,    Ausland,1433,2366
,,,
,  Mecklenburgische,,
10,    Seenplatte,49030,159806
11,    Deutschland,48151,157894
12,    Ausland,879,1912
,,,
13,  Landkreis Rostock,75206,298669
14,    Deutschland,73178,293627
15,    Ausland,2028,5042
,,,
16,  Vorpommern-Rügen,152240,584818
17,    Deutschland,149044,576391
18,    Ausland,3196,8427
,,,
19,  Nordwestmecklenburg,39348,145165
20,    Deutschland,37885,140905
21,    Ausland,1463,4260
,,,
22,  Vorpommern-Greifswald,94444,356393
23,    Deutschland,93349,353596
24,    Ausland,1095,2797
,,,
25,  Ludwigslust-Parchim,23083,65541
26,    Deutschland,20309,59431
27,    Ausland,2774,6110
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",5578,13029
29,    Deutschland,5054,11789
30,    Ausland,524,1240
,,,
31,"  Neubrandenburg, Stadt 11)",3802,6736
32,    Deutschland,3625,6350
33,    Ausland,177,386
,,,
34,"  Stralsund, Hansestadt 12)",15762,36564
35,    Deutschland,14998,34868
36,    Ausland,764,1696
,,,
37,"  Wismar, Hansestadt 13)",8742,21972
38,    Deutschland,8023,20738
39,    Ausland,719,1234
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",April 2016,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,463063,1564581
2,  Deutschland,442801,1513323
3,  Ausland,20262,51258
,,,
4,"  Rostock, Hansestadt",56083,127728
5,    Deutschland,51891,118870
6,    Ausland,4192,8858
,,,
7,"  Schwerin, Landeshauptstadt",14383,23677
8,    Deutschland,12586,20622
9,    Ausland,1797,3055
,,,
,  Mecklenburgische,,
10,    Seenplatte,51159,152641
11,    Deutschland,49718,148287
12,    Ausland,1441,4354
,,,
13,  Landkreis Rostock,66986,249370
14,    Deutschland,64931,244180
15,    Ausland,2055,5190
,,,
16,  Vorpommern-Rügen,126790,480240
17,    Deutschland,121417,465479
18,    Ausland,5373,14761
,,,
19,  Nordwestmecklenburg,37557,131995
20,    Deutschland,35943,127340
21,    Ausland,1614,4655
,,,
22,  Vorpommern-Greifswald,86457,331208
23,    Deutschland,84932,326771
24,    Ausland,1525,4437
,,,
25,  Ludwigslust-Parchim,23648,67722
26,    Deutschland,21383,61774
27,    Ausland,2265,5948
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",5925,13086
29,    Deutschland,5463,12006
30,    Ausland,462,1080
,,,
31,"  Neubrandenburg, Stadt 11)",4022,7017
32,    Deutschland,3824,6560
33,    Ausland,198,457
,,,
34,"  Stralsund, Hansestadt 12)",15492,35096
35,    Deutschland,14321,32317
36,    Ausland,1171,2779
,,,
37,"  Wismar, Hansestadt 13)",8317,20874
38,    Deutschland,7446,19348
39,    Ausland,871,1526
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
