jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
2016,4,03353,21770,45424
2017,4,03353,24945,57152
2018,4,03353,24606,58119
2009,4,03354,7494,24376
2010,4,03354,6221,18871
2011,4,03354,9168,29489
2012,4,03354,7423,22615
2013,4,03354,6036,16579
2014,4,03354,7589,24648
2015,4,03354,6371,18272
2016,4,03354,6264,14917
2017,4,03354,7139,20381
2018,4,03354,6998,19268
2009,4,03355,18010,40711
2010,4,03355,18797,42554
2011,4,03355,20661,46488
2012,4,03355,21833,50642
2013,4,03355,20798,44667
2014,4,03355,21146,48075
2015,4,03355,21575,48290
2016,4,03355,23118,49197
2017,4,03355,23531,54398
2018,4,03355,24523,51984
2009,4,03356,4937,11027
2010,4,03356,4954,12069
2011,4,03356,4724,12875
2012,4,03356,4392,11705
2013,4,03356,5181,12580
2014,4,03356,4360,11291
2015,4,03356,4586,13627
2016,4,03356,5523,13844
2017,4,03356,4491,11617
2018,4,03356,5348,12170
2009,4,03357,15183,37205
2010,4,03357,16561,37392
2011,4,03357,16239,37008
2012,4,03357,17053,39566
2013,4,03357,16673,35191
2014,4,03357,14733,33312
2015,4,03357,16051,43669
2016,4,03357,18269,46784
2017,4,03357,16217,43216
2018,4,03357,17242,43520
2009,4,03358,58400,206750
2010,4,03358,53603,186622
2011,4,03358,66573,232903
2012,4,03358,66263,214388
2013,4,03358,48070,145815
2014,4,03358,68788,251290
2015,4,03358,64199,212956
2016,4,03358,66658,183354
2017,4,03358,82419,262514
2018,4,03358,78313,222118
2009,4,03359,12817,32118
2010,4,03359,14082,33634
2011,4,03359,17938,43702
2012,4,03359,17936,45251
2013,4,03359,15340,38254
2014,4,03359,16681,39629
2015,4,03359,15439,34558
2016,4,03359,16228,41065
2017,4,03359,17563,40304
2018,4,03359,18766,46092
2009,4,03360,12801,63022
2010,4,03360,11792,62653
2011,4,03360,12478,63173
2012,4,03360,13482,67751
2013,4,03360,12681,60974
2014,4,03360,12292,62106
2015,4,03360,12389,60755
2016,4,03360,12247,57840
2017,4,03360,13779,65196
2018,4,03360,12902,58358
2009,4,03361,10053,22330
2010,4,03361,9700,19620
2011,4,03361,11456,24882
2012,4,03361,11402,24922
2013,4,03361,11522,23367
2014,4,03361,10948,24515
2015,4,03361,10249,22285
2016,4,03361,12144,22974
2017,4,03361,12640,26598
2018,4,03361,14841,28043
2009,4,03401,2125,3555
2010,4,03401,2249,3995
2011,4,03401,2404,4379
2012,4,03401,1966,3399
2013,4,03401,2554,4587
2014,4,03401,2170,3835
2015,4,03401,2245,4064
2016,4,03401,2520,5155
2017,4,03401,2390,4416
2018,4,03401,2736,4908
2009,4,03402,4225,7552
2010,4,03402,4668,8719
2011,4,03402,4557,9547
2012,4,03402,4825,10073
2013,4,03402,4915,10008
2014,4,03402,6061,12617
2015,4,03402,5915,11385
2016,4,03402,6184,12737
2017,4,03402,6607,13835
2018,4,03402,7372,13774
2009,4,03403,9194,15790
2010,4,03403,10355,20606
2011,4,03403,9590,21626
2012,4,03403,10003,22882
2013,4,03403,11614,24585
2014,4,03403,8749,23285
2015,4,03403,12079,26171
2016,4,03403,13300,29016
2017,4,03403,11320,26159
2018,4,03403,13435,29765
2009,4,03404,14768,22861
2010,4,03404,16109,23596
2011,4,03404,14473,23077
2012,4,03404,15275,24113
2013,4,03404,18410,26975
2014,4,03404,14892,23572
2015,4,03404,19351,31153
2016,4,03404,24611,39105
2017,4,03404,24897,39322
