id (int),jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
1,9,8,62,105760,191582
2,9,7,62,90949,166299
3,9,6,62,96470,178059
4,9,5,62,98047,180551
5,9,4,62,95461,173367
6,9,3,62,83893,153927
7,9,2,62,78795,142709
8,9,1,62,73656,130698
9,8,12,62,96727,174893
10,8,11,62,92399,166096
11,8,10,62,99658,184881
12,8,9,62,101532,185865
13,8,8,62,98740,183486
14,8,7,62,91820,167861
15,8,6,62,91737,167302
16,8,5,62,97532,178005
17,8,4,62,89994,163856
18,8,3,62,83727,149213
19,8,2,62,73360,130044
20,8,1,62,69266,121254
21,7,12,62,91418,161335
22,7,11,62,90812,161353
23,7,10,62,99771,184700
24,7,9,62,99741,182995
25,7,8,62,95610,177335
26,7,7,62,84382,157713
27,7,6,62,86927,160513
28,7,5,62,91432,175005
29,7,4,62,92312,168267
30,7,3,62,77865,149203
31,7,2,62,77597,142351
32,7,1,62,64771,123355
33,6,12,62,89617,163297
34,6,11,62,90713,166052
35,6,10,62,101926,189364
36,6,9,62,96091,177534
37,6,8,62,90911,172594
38,6,7,62,92270,169308
39,6,6,62,92315,168960
40,6,5,62,91892,174152
41,6,4,62,82209,150103
42,6,3,62,78134,146779
43,6,2,62,71007,130865
44,6,1,62,66083,124222
45,5,12,62,86543,159472
46,5,11,62,88992,175416
47,5,10,62,101977,188118
48,5,9,62,91703,169554
49,5,8,62,85025,163670
50,5,7,62,85791,158482
51,5,6,62,81876,151535
52,5,5,62,90566,168350
53,5,4,62,73848,141679
54,5,3,62,76939,145842
55,5,2,62,71392,128987
56,5,1,62,63305,111491
57,4,12,62,83259,146896
58,4,11,62,86255,150256
59,4,10,62,89230,159831
60,4,9,62,88479,159242
61,4,8,62,85348,154728
62,4,7,62,78274,139928
63,4,6,62,80886,142679
64,4,5,62,85214,154524
65,4,4,62,76213,135760
66,4,3,62,65741,117373
67,4,2,62,64089,110114
68,4,1,62,59101,100437
69,3,12,62,71979,125994
70,3,11,62,78285,135164
71,3,10,62,82639,150732
72,3,9,62,82378,148730
73,3,8,62,68458,124943
74,3,7,62,72162,129646
75,3,6,62,74838,133025
76,3,5,62,76976,131374
77,3,4,62,71146,123345
78,3,3,62,69274,115249
79,3,2,62,67466,109815
80,3,1,62,60931,99492
81,2,12,62,76734,125606
82,2,11,62,81118,133040
83,2,10,62,85104,148371
84,2,9,62,83748,145981
85,2,8,62,77417,135758
86,2,7,62,75508,130276
87,2,6,62,75518,132517
88,2,5,62,85635,146193
89,2,4,62,72484,124830
90,2,3,62,69711,116124
91,2,2,62,60102,100500
92,2,1,62,55128,89597
93,1,12,62,76019,122860
94,1,11,62,76579,123587
95,1,10,62,87020,149880
96,1,9,62,81974,137789
97,1,8,62,74831,129403
98,1,7,62,67520,121672
99,1,6,62,70879,119989
100,1,5,62,74706,127594
101,1,4,62,69590,115724
102,1,3,62,60629,104828
103,1,2,62,59138,97727
104,1,1,62,47834,80276
105,0,12,62,64203,109398
106,0,11,62,65551,108837
107,0,10,62,72806,127746
108,0,9,62,70655,126645
109,0,8,62,66563,120856
110,0,7,62,59510,104497
111,0,6,62,65284,114102
112,0,5,62,70810,129227
113,0,4,62,62343,107706
114,0,3,62,58034,99078
115,0,2,62,53807,90102
116,0,1,62,45803,76454
117,9,8,63,26930,48119
118,9,7,63,25743,45596
119,9,6,63,23127,41931
120,9,5,63,25118,43964
121,9,4,63,18130,34183
122,9,3,63,15907,31302
123,9,2,63,13433,26017
124,9,1,63,11515,21858
125,8,12,63,12497,22702
126,8,11,63,13814,26053
127,8,10,63,19162,37295
128,8,9,63,21526,38148
129,8,8,63,23357,43443
130,8,7,63,22208,39953
131,8,6,63,21661,38794
132,8,5,63,20368,37562
133,8,4,63,16576,32360
134,8,3,63,13298,26828
135,8,2,63,11898,23360
136,8,1,63,11285,20700
137,7,12,63,11725,21098
138,7,11,63,13128,23475
139,7,10,63,18980,35048
140,7,9,63,20779,36974
141,7,8,63,22252,42192
142,7,7,63,20950,40262
143,7,6,63,19271,35995
144,7,5,63,20320,40628
