2009,01,01001,4938,8124
2009,01,01002,11928,25168
2009,01,01003,21507,43169
2009,01,01004,3618,8140
2009,01,01051,4725,18386
2009,01,01053,6206,27848
2009,01,01054,31402,193745
2009,01,01055,28821,128713
2009,01,01056,10865,22244
2009,01,01057,5572,21782
2009,01,01058,16363,67185
2009,01,01059,10688,23248
2009,01,01060,13203,41340
2009,01,01061,2033,4503
2009,01,01062,8369,15452
2009,02,01001,4857,8134
2009,02,01002,13890,27629
2009,02,01003,22718,45876
2009,02,01004,3549,8945
2009,02,01051,6529,21637
2009,02,01053,7748,32483
2009,02,01054,44104,222719
2009,02,01055,38150,151017
2009,02,01056,11773,22584
2009,02,01057,6720,24599
2009,02,01058,21170,82933
2009,02,01059,13868,29525
2009,02,01060,14899,43312
2009,02,01061,2445,5020
2009,02,01062,9907,17779
2009,03,01001,5591,9305
2009,03,01002,17256,34686
2009,03,01003,28726,61262
2009,03,01004,4202,9263
2009,03,01051,11588,48810
2009,03,01053,9436,38275
2009,03,01054,61351,327162
2009,03,01055,51589,213419
2009,03,01056,14073,28399
2009,03,01057,9158,34196
2009,03,01058,24340,93002
2009,03,01059,18178,39094
2009,03,01060,17984,51604
2009,03,01061,2998,6827
2009,03,01062,11055,20811
2009,04,01001,7817,13162
2009,04,01002,15916,31732
2009,04,01003,40186,85875
2009,04,01004,3110,7773
2009,04,01051,23231,113467
2009,04,01053,12386,44071
2009,04,01054,100204,556440
2009,04,01055,93115,416675
2009,04,01056,17894,40182
2009,04,01057,14207,60019
2009,04,01058,30054,123112
2009,04,01059,25918,70539
2009,04,01060,17819,54868
2009,04,01061,3724,8667
2009,04,01062,11561,22140
2009,05,01001,8710,14583
2009,05,01002,25047,46784
2009,05,01003,47884,102376
2009,05,01004,4006,8288
2009,05,01051,29437,146576
2009,05,01053,20090,61688
2009,05,01054,129661,726728
2009,05,01055,118983,547391
2009,05,01056,23509,55665
2009,05,01057,22380,86387
2009,05,01058,38921,148146
2009,05,01059,37705,111656
2009,05,01060,22698,62552
2009,05,01061,6096,13787
2009,05,01062,15436,29668
2009,06,01001,9074,14909
2009,06,01002,28411,53067
2009,06,01003,51742,111242
2009,06,01004,4837,9795
2009,06,01051,28089,157238
2009,06,01053,19739,59605
2009,06,01054,127899,812988
2009,06,01055,119638,640426
2009,06,01056,23582,55837
2009,06,01057,26554,108958
2009,06,01058,43453,165976
2009,06,01059,37473,119098
2009,06,01060,23443,62626
2009,06,01061,6374,13318
2009,06,01062,15461,27772
2009,07,01001,13387,21241
2009,07,01002,31423,59164
2009,07,01003,69567,157121
2009,07,01004,4728,9488
2009,07,01051,37255,236973
2009,07,01053,23200,76476
2009,07,01054,153676,1101008
2009,07,01055,153075,1016505
2009,07,01056,23397,64486
2009,07,01057,30217,167988
2009,07,01058,45346,225207
2009,07,01059,45665,187294
2009,07,01060,25321,72463
2009,07,01061,6489,15370
2009,07,01062,14038,32382
2009,08,01001,11202,18340
2009,08,01002,27938,55284
2009,08,01003,61760,150191
2009,08,01004,4488,8914
2009,08,01051,36807,233426
2009,08,01053,20603,67923
2009,08,01054,158547,1131719
2009,08,01055,145547,908705
2009,08,01056,23598,60244
2009,08,01057,27475,153868
2009,08,01058,42919,220095
2009,08,01059,42090,168552
2009,08,01060,23186,70898
2009,08,01061,5508,14640
2009,08,01062,13665,28528
2009,09,01001,9042,16011
2009,09,01002,25296,48986
2009,09,01003,53088,115545
2009,09,01004,4420,11157
2009,09,01051,29970,170310
2009,09,01053,19984,61071
2009,09,01054,129115,806146
2009,09,01055,102384,564206
2009,09,01056,23478,55150
2009,09,01057,20909,89742
2009,09,01058,37384,149464
2009,09,01059,34822,103983
2009,09,01060,23815,63214
2009,09,01061,5109,11516
2009,09,01062,15590,28620
2009,10,01001,7899,13980
2009,10,01002,19896,41555
2009,10,01003,41929,95552
2009,10,01004,4114,10569
2009,10,01051,26096,137057
2009,10,01053,14624,52191
2009,10,01054,118529,663116
2009,10,01055,97614,477290
2009,10,01056,18581,42779
2009,10,01057,16503,68632
2009,10,01058,35888,151306
2009,10,01059,27644,82785
2009,10,01060,20332,60978
2009,10,01061,4066,9702
2009,10,01062,12896,25314
2009,11,01001,6172,10934
