jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
2015,12,03158,7824,3150
2016,12,03158,8418,3375
2017,12,03158,7871,3460
2018,12,03158,,
2009,12,03159,108319,39568
2010,12,03159,96623,38350
2011,12,03159,90005,35082
2012,12,03159,99144,37792
2013,12,03159,105159,39721
2014,12,03159,107931,41602
2015,12,03159,121748,44828
2016,12,03159,117134,46202
2017,12,03159,116272,46370
2018,12,03159,,
2009,12,03241,182433,107079
2010,12,03241,193151,113656
2011,12,03241,199918,116673
2012,12,03241,212177,126176
2013,12,03241,205715,119593
2014,12,03241,219881,125516
2015,12,03241,221044,128270
2016,12,03241,234532,137027
2017,12,03241,251245,146658
2018,12,03241,,
2009,12,03251,10317,6164
2010,12,03251,11637,6830
2011,12,03251,13167,7287
2012,12,03251,13354,7073
2013,12,03251,14022,7729
2014,12,03251,12264,6548
2015,12,03251,13157,7042
2016,12,03251,14634,7358
2017,12,03251,14867,7723
2018,12,03251,,
2009,12,03252,77270,16150
2010,12,03252,78826,16011
2011,12,03252,77097,16275
2012,12,03252,77815,17009
2013,12,03252,83435,17180
2014,12,03252,77112,17164
2015,12,03252,77286,19182
2016,12,03252,77142,18384
2017,12,03252,74884,19140
2018,12,03252,,
2009,12,03254,30212,11429
2010,12,03254,29936,12177
2011,12,03254,37597,13872
2012,12,03254,32939,13265
2013,12,03254,33979,13924
2014,12,03254,36444,15416
2015,12,03254,41734,15554
2016,12,03254,38149,16280
2017,12,03254,38477,16863
2018,12,03254,,
2009,12,03255,4736,2006
2010,12,03255,5358,2713
2011,12,03255,5996,3007
2012,12,03255,4278,2499
2013,12,03255,4251,2472
2014,12,03255,5875,3018
2015,12,03255,6386,2912
2016,12,03255,8500,4180
2017,12,03255,8721,4392
2018,12,03255,,
2009,12,03256,8678,4548
2010,12,03256,9182,4532
2011,12,03256,11986,5346
2012,12,03256,12254,5524
2013,12,03256,12762,5377
2014,12,03256,11327,5242
2015,12,03256,12473,5528
2016,12,03256,10968,4794
2017,12,03256,12244,5460
2018,12,03256,,
2009,12,03257,42928,8539
2010,12,03257,42070,8939
2011,12,03257,47378,9795
2012,12,03257,44954,10180
2013,12,03257,45936,9816
2014,12,03257,48039,10478
2015,12,03257,47279,10846
2016,12,03257,47358,10609
2017,12,03257,46662,11011
2018,12,03257,,
2009,12,03351,30710,13797
2010,12,03351,30205,13802
2011,12,03351,30979,15790
2012,12,03351,32868,15647
2013,12,03351,32755,15900
2014,12,03351,33675,15924
2015,12,03351,33045,15844
2016,12,03351,37257,16626
2017,12,03351,37291,17122
2018,12,03351,,
2009,12,03352,70695,18333
2010,12,03352,63330,15810
2011,12,03352,64353,17556
2012,12,03352,79260,20473
2013,12,03352,70389,19636
2014,12,03352,87427,23342
2015,12,03352,86226,23364
2016,12,03352,84565,23742
2017,12,03352,89567,25069
2018,12,03352,,
2009,12,03353,32875,13992
2010,12,03353,31481,13474
2011,12,03353,33292,14417
2012,12,03353,34257,14111
2013,12,03353,32951,13896
2014,12,03353,32364,13788
2015,12,03353,31629,13808
2016,12,03353,33166,15702
2017,12,03353,34383,14741
2018,12,03353,,
2009,12,03354,9595,3188
2010,12,03354,10901,3815
2011,12,03354,9986,3521
2012,12,03354,10505,3634
2013,12,03354,9653,3454
2014,12,03354,8274,3076
2015,12,03354,8821,3448
2016,12,03354,9911,3645
2017,12,03354,10660,3841
2018,12,03354,,
2009,12,03355,32982,16486
2010,12,03355,32791,16567
2011,12,03355,38667,19066
2012,12,03355,36409,17675
2013,12,03355,37338,18751
2014,12,03355,38410,18786
2015,12,03355,38119,18454
2016,12,03355,42118,20899
2017,12,03355,43061,20775
2018,12,03355,,
2009,12,03356,6988,2953
2010,12,03356,7508,2755
2011,12,03356,7688,3201
2012,12,03356,8215,2959
2013,12,03356,6116,2931
2014,12,03356,8082,2982
2015,12,03356,8618,3125
2016,12,03356,7231,3175
2017,12,03356,6843,3059
2018,12,03356,,
2009,12,03357,21812,10682
2010,12,03357,23273,11141
2011,12,03357,22819,10718
2012,12,03357,21525,9584
2013,12,03357,21396,9845
2014,12,03357,29908,9951
2015,12,03357,32732,11000
2016,12,03357,28949,10518
2017,12,03357,27013,10669
2018,12,03357,,
2009,12,03358,112195,28788
2010,12,03358,92272,26910
2011,12,03358,98697,28742
2012,12,03358,96939,26989
2013,12,03358,94748,27404
2014,12,03358,98271,28474
2015,12,03358,106364,32587
2016,12,03358,108431,32974
2017,12,03358,110934,34323
2018,12,03358,,
2009,12,03359,20306,8711
2010,12,03359,19695,9003
2011,12,03359,23861,10294
2012,12,03359,23900,10058
2013,12,03359,20905,9545
2014,12,03359,21723,9980
2015,12,03359,23673,9705
2016,12,03359,24546,11058
2017,12,03359,27101,12283
2018,12,03359,,
2009,12,03360,45189,7072
2010,12,03360,43565,7370
2011,12,03360,47685,7804
2012,12,03360,48255,7999
2013,12,03360,48008,8752
2014,12,03360,47210,8377
2015,12,03360,46240,8544
2016,12,03360,46571,8582
2017,12,03360,44919,8600
2018,12,03360,,
2009,12,03361,12829,6264
2010,12,03361,13111,6519
2011,12,03361,14534,7203
2012,12,03361,17415,8134
2013,12,03361,16996,8039
2014,12,03361,15090,7148
2015,12,03361,16228,7809
2016,12,03361,17032,8592
2017,12,03361,19021,9428
2018,12,03361,,
2009,12,03401,3001,1813
2010,12,03401,3461,1770
2011,12,03401,3620,1803
2012,12,03401,3619,1988
2013,12,03401,3464,1929
2014,12,03401,3526,1965
2015,12,03401,3395,1842
2016,12,03401,3768,2016
2017,12,03401,4213,2483
2018,12,03401,,
2009,12,03402,6422,3621
2010,12,03402,6093,3148
2011,12,03402,5700,2949
2012,12,03402,6737,3553
2013,12,03402,9862,4511
2014,12,03402,8153,4100
2015,12,03402,10431,5466
2016,12,03402,10157,5172
2017,12,03402,11181,6019
2018,12,03402,,
2009,12,03403,17682,8466
2010,12,03403,22326,10213
2011,12,03403,22549,10279
2012,12,03403,22900,10409
2013,12,03403,25645,11709
2014,12,03403,26663,12708
2015,12,03403,28816,13304
2016,12,03403,29086,13931
2017,12,03403,31266,14969
2018,12,03403,,
2009,12,03404,23264,15417
2010,12,03404,23127,15038
2011,12,03404,23836,15443
2012,12,03404,26159,16402
2013,12,03404,26558,16638
2014,12,03404,24642,16485
2015,12,03404,35387,21618
2016,12,03404,42564,27351
2017,12,03404,37443,23855
2018,12,03404,,
2009,12,03405,13748,3729
2010,12,03405,16739,5581
2011,12,03405,17656,5777
2012,12,03405,17624,5899
2013,12,03405,18476,6399
2014,12,03405,21415,7467
2015,12,03405,22593,7241
2016,12,03405,22487,8186
2017,12,03405,24474,8560
2018,12,03405,,
2009,12,03451,41780,12758
2010,12,03451,41941,12470
2011,12,03451,43431,13443
2012,12,03451,42515,13487
2013,12,03451,44098,13191
2014,12,03451,47209,14940
2015,12,03451,49264,14457
2016,12,03451,50899,15769
2017,12,03451,53518,17065
2018,12,03451,,
2009,12,03452,107115,26441
2010,12,03452,91555,23008
2011,12,03452,90472,23420
2012,12,03452,101058,23443
2013,12,03452,101099,24702
2014,12,03452,109469,27225
2015,12,03452,128478,32537
2016,12,03452,124764,31843
2017,12,03452,128490,32067
2018,12,03452,,
2009,12,03453,21136,7969
2010,12,03453,19087,7826
2011,12,03453,20456,8616
2012,12,03453,20642,8314
2013,12,03453,19380,7955
2014,12,03453,21650,8842
2015,12,03453,22385,8638
2016,12,03453,20747,8451
2017,12,03453,20782,8794
2018,12,03453,,
2009,12,03454,51108,18843
2010,12,03454,52345,19828
2011,12,03454,65311,20764
2012,12,03454,65386,20617
2013,12,03454,62403,21617
2014,12,03454,61032,21327
2015,12,03454,63435,22832
2016,12,03454,64835,23800
2017,12,03454,69739,25037
2018,12,03454,,
2009,12,03455,32324,10096
2010,12,03455,29124,8966
2011,12,03455,31595,10411
2012,12,03455,42836,10851
2013,12,03455,46125,10536
2014,12,03455,44431,11541
2015,12,03455,44813,11924
2016,12,03455,45002,12386
2017,12,03455,51727,14184
2018,12,03455,,
2009,12,03456,40977,13235
2010,12,03456,42788,12608
2011,12,03456,46465,12754
2012,12,03456,51645,15174
2013,12,03456,27659,8340
2014,12,03456,51361,13920
2015,12,03456,49558,13734
2016,12,03456,49468,14299
2017,12,03456,51937,15510
2018,12,03456,,
2009,12,03457,43164,9453
2010,12,03457,39871,8750
2011,12,03457,40275,9290
2012,12,03457,47817,10577
2013,12,03457,44060,10109
2014,12,03457,44100,9852
2015,12,03457,48141,12185
2016,12,03457,47613,11286
2017,12,03457,50586,11171
2018,12,03457,,
2009,12,03458,11752,6036
2010,12,03458,11601,6041
2011,12,03458,12470,6336
2012,12,03458,12759,6617
2013,12,03458,11777,6975
2014,12,03458,13592,6710
2015,12,03458,13719,8440
2016,12,03458,13970,8153
2017,12,03458,15494,8652
2018,12,03458,,
2009,12,03459,93528,15678
2010,12,03459,91591,17804
2011,12,03459,89553,19135
2012,12,03459,95315,20851
2013,12,03459,99757,19795
2014,12,03459,99346,21327
2015,12,03459,100201,21194
2016,12,03459,103588,21825
2017,12,03459,106695,23297
2018,12,03459,,
2009,12,03460,18889,6966
2010,12,03460,16978,6514
2011,12,03460,19317,7394
2012,12,03460,19321,6976
2013,12,03460,17161,6684
2014,12,03460,18686,6906
2015,12,03460,17007,6497
2016,12,03460,20332,7781
2017,12,03460,20619,7477
2018,12,03460,,
2009,12,03461,24116,5726
2010,12,03461,23682,6225
2011,12,03461,23222,6228
2012,12,03461,19450,5149
2013,12,03461,25063,6702
2014,12,03461,28781,7925
2015,12,03461,28198,7910
2016,12,03461,29765,8803
2017,12,03461,26106,7365
2018,12,03461,,
2009,12,03462,54394,12618
2010,12,03462,48741,11811
2011,12,03462,49947,12406
2012,12,03462,60022,13319
2013,12,03462,58940,12854
2014,12,03462,57671,13378
2015,12,03462,59847,14338
2016,12,03462,62960,15060
2017,12,03462,64445,15271
2018,12,03462,,
2009,2,03101,36706,19871
2010,2,03101,35372,19846
2011,2,03101,37715,21699
2012,2,03101,41067,22145
2013,2,03101,39076,21084
2014,2,03101,38770,22514
2015,2,03101,40621,22392
2016,2,03101,45554,27231
2017,2,03101,46114,28676
2018,2,03101,48383,30693
2009,2,03102,6814,2811
2010,2,03102,9921,3021
2011,2,03102,8748,3222
2012,2,03102,10920,3259
2013,2,03102,11329,3306
2014,2,03102,9604,3244
2015,2,03102,11441,3677
2016,2,03102,10371,3792
2017,2,03102,10660,3652
2018,2,03102,11593,3787
2009,2,03103,33873,16008
2010,2,03103,33343,17327
2011,2,03103,35716,18175
2012,2,03103,38669,18508
2013,2,03103,34735,16606
2014,2,03103,33435,19862
2015,2,03103,35977,21949
2016,2,03103,38786,23827
2017,2,03103,34839,23743
2018,2,03103,40970,25727
2009,2,03151,18425,7010
2010,2,03151,17539,7153
2011,2,03151,20321,7978
2012,2,03151,24794,9063
2013,2,03151,26603,8806
2014,2,03151,25424,9070
2015,2,03151,24043,8221
2016,2,03151,24933,8641
2017,2,03151,16750,6768
2018,2,03151,18988,8105
2009,2,03153,192598,57633
2010,2,03153,200683,60090
2011,2,03153,158707,47495
2012,2,03153,194647,61883
2013,2,03153,199794,57896
2014,2,03153,183124,53730
2015,2,03153,205795,64179
2016,2,03153,180854,54090
2017,2,03153,181511,57108
2018,2,03153,223730,71034
2009,2,03154,10133,6531
2010,2,03154,10777,6335
2011,2,03154,10627,6524
2012,2,03154,11725,7451
2013,2,03154,11108,7003
2014,2,03154,9467,6077
2015,2,03154,10420,6494
2016,2,03154,11636,6727
2017,2,03154,9754,6154
2018,2,03154,10200,6228
2009,2,03155,30632,9207
2010,2,03155,31460,9453
2011,2,03155,31677,9777
2012,2,03155,30590,9356
2013,2,03155,28576,8402
2014,2,03155,28356,9301
2015,2,03155,27554,8992
2016,2,03155,25625,8106
2017,2,03155,26894,8816
2018,2,03155,28998,9491
2009,2,03157,5515,3092
2010,2,03157,7359,3179
2011,2,03157,7433,3901
2012,2,03157,7140,3892
2013,2,03157,6337,3662
2014,2,03157,5479,3192
2015,2,03157,6595,3772
2016,2,03157,4985,2926
2017,2,03157,5777,3095
2018,2,03157,6200,3703
2009,2,03158,6567,3042
2010,2,03158,7273,3259
2011,2,03158,9299,4063
2012,2,03158,11068,4233
2013,2,03158,10733,4059
2014,2,03158,9904,3903
2015,2,03158,10832,3872
2016,2,03158,8640,3384
2017,2,03158,8582,3020
2018,2,03158,9529,3732
2009,2,03159,96589,38027
2010,2,03159,96164,38152
2011,2,03159,84036,36445
2012,2,03159,96084,39258
2013,2,03159,93611,37917
2014,2,03159,108997,42911
2015,2,03159,117577,44876
2016,2,03159,118911,47281
2017,2,03159,117858,47358
2018,2,03159,129233,53379
2009,2,03241,235253,127285
2010,2,03241,221584,125819
2011,2,03241,243181,136512
2012,2,03241,264598,148242
2013,2,03241,237147,134378
2014,2,03241,239574,136759
2015,2,03241,257525,144242
2016,2,03241,275137,154913
2017,2,03241,254365,143792
2018,2,03241,277827,155800
2009,2,03251,12065,7289
2010,2,03251,11791,6732
2011,2,03251,13270,7503
2012,2,03251,13833,7627
2013,2,03251,13877,7374
2014,2,03251,13262,7905
2015,2,03251,13382,7176
2016,2,03251,14666,7884
2017,2,03251,14968,7586
2018,2,03251,16371,8074
2009,2,03252,71767,12806
2010,2,03252,70440,13253
2011,2,03252,69968,14015
2012,2,03252,76601,15293
2013,2,03252,74117,14487
2014,2,03252,76878,15221
2015,2,03252,73053,16109
2016,2,03252,77717,18481
2017,2,03252,74858,16682
2018,2,03252,73423,16592
2009,2,03254,33840,12548
2010,2,03254,34657,12407
2011,2,03254,37627,15114
2012,2,03254,40816,16491
2013,2,03254,40475,15557
2014,2,03254,39570,15504
2015,2,03254,40434,17693
2016,2,03254,45191,19202
2017,2,03254,43564,18474
2018,2,03254,43360,18805
2009,2,03255,5259,2273
2010,2,03255,5763,2728
2011,2,03255,4771,2424
2012,2,03255,5187,2459
2013,2,03255,4554,2180
2014,2,03255,4834,2365
2015,2,03255,5957,2692
2016,2,03255,5391,2690
2017,2,03255,7586,3688
2018,2,03255,7323,3215
2009,2,03256,7827,4583
2010,2,03256,9222,5236
2011,2,03256,12571,5332
2012,2,03256,14405,6731
2013,2,03256,15840,6449
2014,2,03256,17503,7806
2015,2,03256,15269,6893
2016,2,03256,16027,6945
2017,2,03256,15716,7025
2018,2,03256,17014,7077
2009,2,03257,43600,9620
2010,2,03257,41207,9080
2011,2,03257,44433,10555
2012,2,03257,47805,10692
2013,2,03257,46706,11082
2014,2,03257,48353,10434
2015,2,03257,47448,10103
2016,2,03257,51667,11044
2017,2,03257,48870,10610
2018,2,03257,49003,11919
2009,2,03351,28056,11886
2010,2,03351,25166,11603
2011,2,03351,24449,12216
2012,2,03351,27434,13342
2013,2,03351,27419,12714
2014,2,03351,26907,12609
2015,2,03351,25254,12140
2016,2,03351,26924,12725
2017,2,03351,27392,12235
2018,2,03351,32731,13318
2009,2,03352,72036,18785
2010,2,03352,60973,17056
2011,2,03352,56776,16276
2012,2,03352,64769,18568
2013,2,03352,73359,20218
2014,2,03352,69019,21010
2015,2,03352,78570,22301
2016,2,03352,83808,24777
2017,2,03352,76739,24272
2018,2,03352,86251,25870
2009,2,03353,26867,13695
2010,2,03353,27288,12732
2011,2,03353,33156,15288
2012,2,03353,31166,14325
2013,2,03353,31424,14182
2014,2,03353,31738,14137
2015,2,03353,27528,13428
2016,2,03353,29875,14277
2017,2,03353,28118,13825
2018,2,03353,36452,15301
2009,2,03354,7891,3451
2010,2,03354,6797,2616
2011,2,03354,8372,3400
2012,2,03354,8572,3453
2013,2,03354,9243,3363
2014,2,03354,8015,3655
2015,2,03354,7906,3316
2016,2,03354,8518,3779
2017,2,03354,7616,3157
2018,2,03354,8435,3494
2009,2,03355,24290,11659
2010,2,03355,22419,11821
2011,2,03355,26415,12975
2012,2,03355,28805,13249
2013,2,03355,25574,12520
2014,2,03355,25648,12586
2015,2,03355,27531,13399
2016,2,03355,28288,14433
2017,2,03355,29223,14099
2018,2,03355,30261,15215
2009,2,03356,7643,3833
2010,2,03356,7436,2930
2011,2,03356,7499,2903
2012,2,03356,8860,3840
2013,2,03356,8602,3432
2014,2,03356,8592,3709
2015,2,03356,9532,3419
2016,2,03356,9280,4030
2017,2,03356,7203,3442
2018,2,03356,8451,3760
2009,2,03357,23457,13027
2010,2,03357,23123,12818
2011,2,03357,23171,12754
2012,2,03357,28129,14876
2013,2,03357,24263,12863
2014,2,03357,21264,12455
2015,2,03357,32325,12753
2016,2,03357,31507,12849
2017,2,03357,26733,11071
2018,2,03357,31290,12748
2009,2,03358,127746,36906
2010,2,03358,114085,32375
2011,2,03358,110492,32085
2012,2,03358,105187,30193
2013,2,03358,103394,30505
2014,2,03358,116723,34444
2015,2,03358,114285,34828
2016,2,03358,120619,36564
2017,2,03358,118689,35875
2018,2,03358,129178,39380
2009,2,03359,18670,8211
2010,2,03359,16645,7388
2011,2,03359,18252,8006
2012,2,03359,21116,8773
2013,2,03359,20532,8353
2014,2,03359,19668,8345
2015,2,03359,17958,8085
2016,2,03359,24289,9834
2017,2,03359,20176,8927
2018,2,03359,21211,9499
2009,2,03360,38882,8103
2010,2,03360,38356,7798
2011,2,03360,39856,7923
2012,2,03360,43959,9098
2013,2,03360,42321,8631
2014,2,03360,41856,8775
2015,2,03360,43984,9153
2016,2,03360,45011,9591
2017,2,03360,43445,8747
2018,2,03360,43891,9998
2009,2,03361,14547,8180
2010,2,03361,14460,8199
2011,2,03361,16979,8759
2012,2,03361,17248,9316
2013,2,03361,16114,8147
2014,2,03361,18473,9940
2015,2,03361,16222,8829
2016,2,03361,19198,10785
2017,2,03361,18300,9856
2018,2,03361,21176,11939
2009,2,03401,2799,2148
2010,2,03401,3202,1859
2011,2,03401,3300,1948
2012,2,03401,3937,2316
2013,2,03401,4206,2152
2014,2,03401,3730,2068
2015,2,03401,3820,2000
2016,2,03401,4404,2060
2017,2,03401,3929,2377
2018,2,03401,4067,2150
2009,2,03402,4826,2964
2010,2,03402,5522,3219
2011,2,03402,5984,2953
2012,2,03402,5847,3093
2013,2,03402,6684,3381
2014,2,03402,6952,3388
2015,2,03402,7422,3675
2016,2,03402,9068,4570
2017,2,03402,8540,4293
2018,2,03402,9026,5179
2009,2,03403,15621,9822
2010,2,03403,19541,9786
2011,2,03403,22142,10344
2012,2,03403,23256,10760
2013,2,03403,22551,10050
2014,2,03403,23094,10145
2015,2,03403,24685,11352
2016,2,03403,27077,11906
2017,2,03403,26618,11754
2018,2,03403,27393,12461
2009,2,03404,19677,13409
2010,2,03404,21624,15012
2011,2,03404,20807,14282
2012,2,03404,21736,14786
2013,2,03404,23101,15651
2014,2,03404,22766,15273
2015,2,03404,21093,14774
2016,2,03404,33457,20808
2017,2,03404,35714,23963
2018,2,03404,34231,22427
2009,2,03405,14503,4584
2010,2,03405,13056,4098
2011,2,03405,17130,5510
2012,2,03405,17958,5643
2013,2,03405,16539,5264
2014,2,03405,17020,6023
2015,2,03405,19372,6820
2016,2,03405,21041,7527
2017,2,03405,20414,7155
2018,2,03405,20924,8059
2009,2,03451,38663,14566
2010,2,03451,36302,13131
2011,2,03451,38725,14990
2012,2,03451,40452,13994
2013,2,03451,40113,14265
2014,2,03451,40864,14444
2015,2,03451,44149,15299
2016,2,03451,44517,16816
2017,2,03451,46123,16530
2018,2,03451,48814,17285
2009,2,03452,84419,22417
2010,2,03452,89490,21757
2011,2,03452,71500,18474
2012,2,03452,85379,20846
2013,2,03452,97806,23416
2014,2,03452,96845,25608
2015,2,03452,111443,26654
2016,2,03452,123253,30894
2017,2,03452,114867,30535
2018,2,03452,120636,30939
2009,2,03453,18573,8424
2010,2,03453,18274,8761
2011,2,03453,18763,9528
2012,2,03453,19954,9573
2013,2,03453,19877,9364
2014,2,03453,18339,9019
2015,2,03453,18884,8526
2016,2,03453,21224,9461
2017,2,03453,19865,9400
2018,2,03453,21185,9541
2009,2,03454,46860,20229
2010,2,03454,51426,19419
2011,2,03454,57118,22837
2012,2,03454,61810,22294
2013,2,03454,65115,22494
2014,2,03454,59631,22313
2015,2,03454,63005,22138
2016,2,03454,70728,26147
2017,2,03454,66475,24892
2018,2,03454,71459,26718
2009,2,03455,26551,9205
2010,2,03455,22471,7856
2011,2,03455,22927,8315
2012,2,03455,25786,10347
2013,2,03455,32483,10906
2014,2,03455,34404,10930
2015,2,03455,34707,10282
2016,2,03455,36912,11272
2017,2,03455,40100,11771
2018,2,03455,45580,13262
2009,2,03456,26267,8532
2010,2,03456,37617,11448
2011,2,03456,41342,12061
2012,2,03456,44614,13419
2013,2,03456,46913,13704
2014,2,03456,38881,11475
2015,2,03456,43960,12485
2016,2,03456,49105,14502
2017,2,03456,41242,12252
2018,2,03456,44375,13875
2009,2,03457,40843,7932
2010,2,03457,39782,7188
2011,2,03457,37584,7249
2012,2,03457,38492,8674
2013,2,03457,49727,9848
2014,2,03457,47864,9923
2015,2,03457,49275,9008
2016,2,03457,51727,9840
2017,2,03457,46498,9339
2018,2,03457,55024,12195
2009,2,03458,14436,8028
2010,2,03458,15654,8514
2011,2,03458,15062,8598
2012,2,03458,15369,8547
2013,2,03458,15691,8905
2014,2,03458,15065,8832
2015,2,03458,15052,9254
2016,2,03458,17363,10870
2017,2,03458,16117,9533
2018,2,03458,17618,10142
2009,2,03459,81725,16048
2010,2,03459,86352,18282
2011,2,03459,83765,18749
2012,2,03459,91238,20478
2013,2,03459,88870,21474
2014,2,03459,98828,21505
2015,2,03459,92595,21857
2016,2,03459,99813,24977
2017,2,03459,101456,24107
2018,2,03459,102331,25344
2009,2,03460,16607,7457
2010,2,03460,21546,8863
2011,2,03460,19185,8291
2012,2,03460,20271,8178
2013,2,03460,20092,8381
2014,2,03460,20146,8577
2015,2,03460,19747,8079
2016,2,03460,22787,9614
2017,2,03460,23504,9747
2018,2,03460,26421,10760
2009,2,03461,40940,11100
2010,2,03461,34957,9016
2011,2,03461,35529,9396
2012,2,03461,33889,9253
2013,2,03461,39117,9958
2014,2,03461,46479,12377
2015,2,03461,43979,11981
2016,2,03461,48834,13344
2017,2,03461,31732,9512
2018,2,03461,33905,9426
2009,2,03462,38859,10209
2010,2,03462,33171,8686
2011,2,03462,31742,8603
2012,2,03462,37452,10131
2013,2,03462,41132,10229
2014,2,03462,34673,9433
2015,2,03462,47636,11407
2016,2,03462,49191,12038
2017,2,03462,54727,12504
2018,2,03462,60222,14076
2009,1,03101,29456,15637
2010,1,03101,30692,16699
2011,1,03101,31042,17593
2012,1,03101,34461,19437
2013,1,03101,35417,19091
2014,1,03101,37010,21338
2015,1,03101,35934,19132
2016,1,03101,37588,21976
2017,1,03101,42497,26334
2018,1,03101,46152,28998
2009,1,03102,6539,2682
2010,1,03102,10299,2961
2011,1,03102,9599,3132
2012,1,03102,9936,3071
2013,1,03102,12443,3448
2014,1,03102,9247,2985
2015,1,03102,10269,3097
2016,1,03102,9288,3088
2017,1,03102,10580,3523
2018,1,03102,10826,3740
2009,1,03103,26723,13056
2010,1,03103,28599,14429
2011,1,03103,30266,15450
2012,1,03103,36107,16864
2013,1,03103,30664,14776
2014,1,03103,30301,16881
2015,1,03103,34513,20784
2016,1,03103,32831,19318
2017,1,03103,33967,21618
2018,1,03103,39814,24341
2009,1,03151,15721,5410
2010,1,03151,15388,4989
2011,1,03151,18424,6408
2012,1,03151,23960,9025
2013,1,03151,25153,8571
2014,1,03151,25345,8694
2015,1,03151,25038,7795
2016,1,03151,21226,6737
2017,1,03151,16824,6237
2018,1,03151,18710,7339
2009,1,03153,171661,54475
2010,1,03153,181481,58299
2011,1,03153,174116,51191
2012,1,03153,172385,52502
2013,1,03153,154718,47728
2014,1,03153,151571,47051
2015,1,03153,153281,49859
2016,1,03153,173937,54376
2017,1,03153,194041,62991
2018,1,03153,179011,58347
2009,1,03154,8770,5152
2010,1,03154,9978,5517
2011,1,03154,9278,5562
2012,1,03154,9938,6126
2013,1,03154,10672,6235
2014,1,03154,9728,5793
2015,1,03154,9272,5353
2016,1,03154,9246,5382
2017,1,03154,9023,5203
2018,1,03154,9686,5558
2009,1,03155,29191,7951
2010,1,03155,31759,8411
2011,1,03155,27329,7993
2012,1,03155,27748,8148
2013,1,03155,27315,8051
2014,1,03155,26731,8188
2015,1,03155,25065,8053
2016,1,03155,22919,6998
2017,1,03155,24689,7750
2018,1,03155,26575,8784
2009,1,03157,6285,3086
2010,1,03157,6533,2839
2011,1,03157,6771,3383
2012,1,03157,6859,3593
2013,1,03157,6385,3613
2014,1,03157,5665,3194
2015,1,03157,6781,3866
2016,1,03157,5036,2809
2017,1,03157,5567,3191
2018,1,03157,6977,4008
2009,1,03158,4903,2166
2010,1,03158,6038,2560
2011,1,03158,6400,2658
2012,1,03158,8476,3820
2013,1,03158,8296,3609
2014,1,03158,7516,3210
2015,1,03158,8482,3409
2016,1,03158,6784,2779
2017,1,03158,6751,2483
2018,1,03158,7894,3020
2009,1,03159,84825,34100
2010,1,03159,89549,32905
2011,1,03159,82911,32290
2012,1,03159,89358,33662
2013,1,03159,84724,33167
2014,1,03159,94039,37129
2015,1,03159,95359,37737
2016,1,03159,109919,41748
2017,1,03159,111370,44780
2018,1,03159,108125,44356
2009,1,03241,220450,114190
2010,1,03241,225444,119288
2011,1,03241,244722,129315
2012,1,03241,258713,137772
2013,1,03241,253631,134704
2014,1,03241,258482,134054
2015,1,03241,251307,132241
2016,1,03241,263863,139482
2017,1,03241,266706,143987
2018,1,03241,294648,158860
2009,1,03251,10790,6188
2010,1,03251,10633,5714
2011,1,03251,12127,6641
2012,1,03251,12936,7166
2013,1,03251,11426,6045
2014,1,03251,12336,6926
2015,1,03251,11694,6358
2016,1,03251,13541,6841
2017,1,03251,13299,6748
2018,1,03251,14902,6662
2009,1,03252,73945,12844
2010,1,03252,71113,13261
2011,1,03252,70548,13412
2012,1,03252,76842,14103
2013,1,03252,74521,14157
2014,1,03252,77174,15743
2015,1,03252,67467,14181
2016,1,03252,71109,16307
2017,1,03252,71091,15441
2018,1,03252,69562,15629
2009,1,03254,28908,10683
2010,1,03254,29604,11177
2011,1,03254,31513,13049
2012,1,03254,37921,14728
2013,1,03254,36524,14498
2014,1,03254,38567,16147
2015,1,03254,38600,16844
2016,1,03254,40514,16441
2017,1,03254,40341,16665
2018,1,03254,44060,19376
2009,1,03255,4071,1738
2010,1,03255,3687,1697
2011,1,03255,3821,1931
2012,1,03255,3189,1619
2013,1,03255,3532,1759
2014,1,03255,4461,2252
2015,1,03255,3983,1924
2016,1,03255,5459,2362
2017,1,03255,6913,3154
2018,1,03255,5721,2696
2009,1,03256,6498,4072
2010,1,03256,7674,4302
2011,1,03256,9851,4762
2012,1,03256,12110,5720
2013,1,03256,14315,6254
2014,1,03256,14300,6626
2015,1,03256,13245,5677
2016,1,03256,13033,6257
2017,1,03256,12806,5660
2018,1,03256,15279,6274
2009,1,03257,41417,8225
2010,1,03257,39360,8356
2011,1,03257,39853,9076
2012,1,03257,44603,10208
2013,1,03257,43740,10148
2014,1,03257,47123,10695
2015,1,03257,45744,10426
2016,1,03257,46348,9784
2017,1,03257,48350,10383
2018,1,03257,47706,10693
2009,1,03351,22419,10134
2010,1,03351,22595,9917
2011,1,03351,24061,10946
2012,1,03351,22005,10731
2013,1,03351,21987,10438
2014,1,03351,22078,10431
2015,1,03351,23264,10669
2016,1,03351,23211,10274
2017,1,03351,27167,11538
2018,1,03351,32265,13330
2009,1,03352,64986,15291
2010,1,03352,66208,15630
2011,1,03352,61891,15733
2012,1,03352,58188,15577
2013,1,03352,53697,15031
2014,1,03352,67642,17903
2015,1,03352,68698,17755
2016,1,03352,77548,19012
2017,1,03352,75326,21388
2018,1,03352,74667,21644
2009,1,03353,24258,11945
2010,1,03353,26124,10972
2011,1,03353,29537,12257
2012,1,03353,28601,12242
